Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1784585388.4898,15:09:48.489,neutral,surprise,0.287914,neutral,0.0
1784585388.5212,15:09:48.521,neutral,surprise,0.287914,neutral,0.0
1784585388.5525,15:09:48.552,neutral,surprise,0.287914,neutral,0.0
1784585388.5838,15:09:48.583,neutral,surprise,0.387739,neutral,0.0
1784585388.6152,15:09:48.615,neutral,surprise,0.387739,neutral,0.0
1784585388.6463,15:09:48.646,neutral,surprise,0.387739,neutral,0.0
1784585388.6774,15:09:48.677,neutral,surprise,0.387739,neutral,0.0
1784585388.7086,15:09:48.708,neutral,surprise,0.480374,neutral,0.0
1784585388.7397,15:09:48.739,neutral,surprise,0.480374,neutral,0.0
1784585388.7711,15:09:48.771,neutral,surprise,0.480374,neutral,0.0
1784585388.8024,15:09:48.802,neutral,surprise,0.480374,neutral,0.0
1784585388.8337,15:09:48.833,neutral,surprise,0.884721,neutral,0.0
1784585388.8651,15:09:48.865,neutral,surprise,0.884721,neutral,0.0
1784585388.8964,15:09:48.896,neutral,surprise,0.884721,neutral,0.0
1784585388.9276,15:09:48.927,neutral,surprise,0.884721,neutral,0.0
1784585388.9587,15:09:48.958,neutral,surprise,0.878964,neutral,0.0
1784585388.9898,15:09:48.989,neutral,surprise,0.878964,neutral,0.0
1784585389.021,15:09:49.021,neutral,surprise,0.878964,neutral,0.0
1784585389.0521,15:09:49.052,neutral,surprise,0.878964,neutral,0.0
1784585389.0832,15:09:49.083,neutral,frown,0.368007,neutral,0.0
1784585389.1144,15:09:49.114,neutral,frown,0.368007,neutral,0.0
1784585389.1455,15:09:49.145,neutral,frown,0.368007,neutral,0.0
1784585389.1769,15:09:49.176,neutral,frown,0.368007,neutral,0.0
1784585389.2082,15:09:49.208,neutral,frown,0.143111,neutral,0.0
1784585389.2395,15:09:49.239,neutral,frown,0.143111,neutral,0.0
1784585389.2709,15:09:49.270,neutral,frown,0.143111,neutral,0.0
1784585389.3022,15:09:49.302,neutral,frown,0.143111,neutral,0.0
1784585389.3335,15:09:49.333,neutral,frown,0.181817,neutral,0.0
1784585389.3647,15:09:49.364,neutral,frown,0.181817,neutral,0.0
1784585389.3958,15:09:49.395,neutral,frown,0.181817,neutral,0.0
1784585389.427,15:09:49.427,neutral,frown,0.181817,neutral,0.0
1784585389.4581,15:09:49.458,neutral,frown,0.13039,neutral,0.0
1784585389.4892,15:09:49.489,neutral,frown,0.13039,neutral,0.0
1784585389.5204,15:09:49.520,neutral,frown,0.13039,neutral,0.0
1784585389.5517,15:09:49.551,neutral,frown,0.13039,neutral,0.0
1784585389.583,15:09:49.583,neutral,frown,0.139964,neutral,0.0
1784585389.6144,15:09:49.614,neutral,frown,0.139964,neutral,0.0
1784585389.6457,15:09:49.645,neutral,frown,0.139964,neutral,0.0
1784585389.6771,15:09:49.677,neutral,frown,0.139964,neutral,0.0
1784585389.7084,15:09:49.708,neutral,surprise,0.253186,neutral,0.0
1784585389.7397,15:09:49.739,neutral,surprise,0.253186,neutral,0.0
1784585389.7709,15:09:49.770,neutral,surprise,0.253186,neutral,0.0
1784585389.802,15:09:49.802,neutral,surprise,0.253186,neutral,0.0
1784585389.8332,15:09:49.833,neutral,surprise,0.295012,neutral,0.0
1784585389.8643,15:09:49.864,neutral,surprise,0.295012,neutral,0.0
1784585389.8954,15:09:49.895,neutral,surprise,0.295012,neutral,0.0
1784585389.9268,15:09:49.926,neutral,surprise,0.295012,neutral,0.0
1784585389.9581,15:09:49.958,neutral,surprise,0.221285,neutral,0.0
1784585389.9894,15:09:49.989,neutral,surprise,0.221285,neutral,0.0
1784585390.0208,15:09:50.020,neutral,surprise,0.221285,neutral,0.0
1784585390.0519,15:09:50.051,neutral,surprise,0.221285,neutral,0.0
1784585390.0833,15:09:50.083,neutral,surprise,0.155534,neutral,0.0
