Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1784585388.5916","15:09:48.591","4","85","1.0","33","1","2","2","1","2"
"1784585389.0911","15:09:49.091","4","85","1.0","67","2","4","2","4","4"
"1784585389.5909","15:09:49.590","4","85","1.0","100","4","4","4","4","4"
"1784585390.0911","15:09:50.091","4","85","1.0","50","4","2","2","4","2"
"1784585390.5906","15:09:50.590","4","85","1.0","67","4","2","2","4","4"
"1784585391.09","15:09:51.090","4","85","1.0","100","4","4","4","4","4"
"1784585391.5904","15:09:51.590","4","85","1.0","100","4","4","4","4","4"
"1784585392.0896","15:09:52.089","4","85","1.0","8","0","1","4","1","0"
"1784585392.5894","15:09:52.589","4","85","1.0","0","1","0","2","0","0"
"1784585393.0898","15:09:53.089","4","85","1.0","0","0","0","2","0","0"
"1784585393.589","15:09:53.589","4","85","1.0","17","2","1","0","1","1"
"1784585394.0886","15:09:54.088","4","85","1.0","33","2","2","0","2","2"
"1784585394.5887","15:09:54.588","4","85","1.0","58","4","2","1","4","4"
"1784585395.0887","15:09:55.088","4","85","1.0","67","4","2","2","4","4"
"1784585395.5885","15:09:55.588","4","85","1.0","83","4","2","4","4","4"
"1784585396.0888","15:09:56.088","4","85","1.0","100","4","4","4","4","4"
"1784585396.5888","15:09:56.588","4","85","1.0","83","4","2","4","4","4"
"1784585397.0884","15:09:57.088","4","85","1.0","50","2","2","2","4","2"
"1784585397.5885","15:09:57.588","4","85","1.0","42","2","2","2","1","2"
"1784585398.0883","15:09:58.088","4","85","1.0","0","1","0","0","0","1"
"1784585398.5879","15:09:58.587","4","85","1.0","0","1","0","0","0","1"
"1784585399.0881","15:09:59.088","4","85","1.0","0","1","0","0","0","2"
"1784585399.5881","15:09:59.588","4","85","1.0","0","2","0","0","0","2"
"1784585400.0877","15:10:00.087","4","85","1.0","0","4","0","0","0","2"
