localTimestamp,deviceTimestamp,step,confidence,surfaceX,surfaceY,imageX,imageY
1749334453.607,1117748.800352,, 0.4504,0.203600,0.547782,720.418552,403.890657
1749334453.608,1117748.808421,, 0.4608,0.105809,0.363718,693.608457,444.035799
1749334453.676,1117748.866743,, 0.9900,0.229994,0.862216,700.733036,331.526163
1749334453.676,1117748.868581,, 0.5218,0.632306,0.349351,791.876882,432.140815
1749334453.676,1117748.876650,, 0.5182,0.624620,0.342953,789.891491,433.589320
1749334453.676,1117748.878846,, 0.8499,0.256650,0.885942,707.641684,326.182840
1749334453.677,1117748.882881,, 0.8266,0.304980,0.783183,717.970480,346.833389
1749334453.677,1117748.886915,, 0.8549,0.343629,0.708648,726.345690,361.757457
1749334453.677,1117748.890950,, 0.9008,0.302191,0.692641,715.920395,365.719074
1749334453.677,1117748.894985,, 0.8825,0.337746,0.626957,723.668500,378.848234
1749334453.677,1117748.899019,, 0.7817,0.247133,0.632311,701.479675,379.112625
1749334453.708,1117748.903054,, 0.7395,0.313402,0.563441,708.134740,389.754117
1749334453.709,1117748.907088,, 0.7395,0.306750,0.534976,706.057997,395.767614
1749334453.709,1117748.911123,, 0.7261,0.332028,0.498546,711.867035,402.990358
1749334453.709,1117748.915157,, 0.8946,0.386907,0.471992,725.234940,407.745000
1749334453.709,1117748.919192,, 0.9045,0.413094,0.402811,730.799783,421.766723
1749334453.709,1117748.923226,, 0.8664,0.390968,0.373544,724.834246,428.163500
1749334453.709,1117748.927261,, 0.8111,0.390206,0.372964,724.635067,428.294961
1749334453.710,1117748.931295,, 0.7993,0.374441,0.352515,720.390385,432.768627
1749334453.745,1117748.935330,, 0.8473,0.488245,0.197849,738.463919,460.698131
1749334453.745,1117748.939364,, 0.8921,0.476303,0.166836,735.070988,467.326884
1749334453.745,1117748.943398,, 0.9020,0.581365,0.267709,762.886210,444.910835
1749334453.746,1117748.947433,, 0.8549,0.566665,0.246342,758.908501,449.561599
1749334453.746,1117748.951468,, 0.8170,0.672495,0.098889,783.979715,478.978556
1749334453.746,1117748.955502,, 0.8105,0.664363,0.076196,781.650809,483.821184
1749334453.746,1117748.959536,, 0.7769,0.663374,0.078204,781.423814,483.414732
1749334453.746,1117748.963571,, 0.8034,0.659935,0.079439,780.567074,483.201195
1749334453.746,1117748.967606,, 0.7992,0.661271,0.080675,780.920160,482.925947
1749334453.779,1117748.971640,, 0.7785,0.664956,0.051861,775.282213,486.855329
1749334453.779,1117748.975675,, 0.7690,0.664009,0.052581,775.045879,486.716062
1749334453.779,1117748.979709,, 0.8402,0.610283,0.145816,762.227309,467.875063
1749334453.779,1117748.983744,, 0.8842,0.606808,0.151693,761.396586,466.688544
1749334453.779,1117748.987778,, 0.8789,0.590827,0.152977,757.289675,466.607177
1749334453.780,1117748.991813,, 0.8887,0.594840,0.151202,758.304820,466.931010
1749334453.780,1117748.995847,, 0.8915,0.587331,0.146303,756.313899,468.041696
1749334453.780,1117748.999882,, 0.8560,0.585019,0.147589,755.732042,467.800272
1749334453.813,1117749.003917,, 0.8692,0.614849,0.133230,755.915141,468.014938
1749334453.814,1117749.007951,, 0.9391,0.620706,0.133535,757.450695,467.890843
1749334453.814,1117749.011985,, 0.9417,0.605539,0.120158,753.364787,470.847841
1749334453.815,1117749.016020,, 0.9767,0.603752,0.129174,752.975793,468.978453
1749334453.815,1117749.020055,, 0.9767,0.587704,0.123589,748.727129,470.312887
1749334453.815,1117749.024089,, 0.9253,0.586150,0.131929,748.392992,468.582701
1749334453.815,1117749.028123,, 0.9253,0.572567,0.135817,744.872159,467.908376
1749334453.815,1117749.032158,, 0.9422,0.573881,0.139592,745.248810,467.104321
1749334453.848,1117749.036193,, 0.9269,0.589572,0.134142,740.870887,466.706513
1749334453.848,1117749.040227,, 0.8675,0.589313,0.130390,740.772450,467.497879
1749334453.848,1117749.044262,, 0.8821,0.592863,0.129815,741.706150,467.586011
1749334453.848,1117749.048296,, 0.9283,0.595939,0.130752,742.526281,467.360505
1749334453.848,1117749.052331,, 0.9290,0.581989,0.118270,738.740224,470.114022
1749334453.849,1117749.056365,, 0.8806,0.579531,0.120631,738.109655,469.640170
1749334453.849,1117749.060400,, 0.8806,0.567942,0.113435,734.989444,471.260332
1749334453.849,1117749.064435,, 0.8748,0.565504,0.115647,734.362902,470.817934
1749334453.849,1117749.068469,, 0.8748,0.559657,0.104027,732.724992,473.315189
1749334453.878,1117749.072504,, 0.8711,0.589607,0.107187,732.665181,472.946871
1749334453.879,1117749.076538,, 0.8711,0.582353,0.096382,730.637529,475.277742
1749334453.879,1117749.080573,, 0.8940,0.579000,0.103592,729.798800,473.786224
1749334453.879,1117749.084607,, 0.8940,0.568238,0.093876,726.841194,475.915241
1749334453.879,1117749.088642,, 0.9502,0.566816,0.095001,726.470108,475.689510
1749334453.879,1117749.092676,, 0.9502,0.560642,0.098562,724.847162,474.988108
1749334453.879,1117749.096710,, 0.9006,0.564845,0.098939,725.974594,474.876054
1749334453.879,1117749.100745,, 0.9006,0.563196,0.096417,725.513056,475.419679
1749334453.910,1117749.104780,, 0.8808,0.584667,0.100683,724.739945,474.713182
1749334453.910,1117749.108814,, 0.8808,0.587338,0.102854,725.484148,474.239731
1749334453.910,1117749.112849,, 0.9738,0.585200,0.122852,725.094242,470.059239
1749334453.910,1117749.116883,, 0.9264,0.587475,0.111562,725.603535,472.412155
1749334453.910,1117749.120918,, 0.9451,0.576554,0.146010,722.971727,465.259803
1749334453.910,1117749.124952,, 0.9732,0.575054,0.137355,722.483466,467.085492
1749334453.910,1117749.128987,, 0.9417,0.562576,0.172323,719.434782,459.834654
1749334453.944,1117749.139252,, 0.5713,0.661468,0.475223,743.697473,396.352045
1749334453.944,1117749.147321,, 0.3914,0.539574,0.100961,706.539942,475.530696
1749334454.010,1117749.228011,, 0.4819,0.541563,0.256107,700.661604,447.013094
1749334454.010,1117749.237918,, 0.8852,0.681976,0.192195,739.272662,459.987303
1749334454.044,1117749.241954,, 0.8852,0.655067,0.309143,730.819895,438.688628
1749334454.044,1117749.247826,, 0.5517,0.625316,0.250335,721.888230,451.137453
1749334454.044,1117749.255895,, 0.5700,0.650931,0.361528,730.135098,427.665659
1749334454.044,1117749.244150,, 0.9900,0.322636,0.132944,635.442588,476.515329
1749334454.044,1117749.258092,, 0.9922,0.642465,0.506006,729.075518,397.258035
1749334454.044,1117749.262126,, 0.9722,0.631241,0.539048,726.213762,390.323902
1749334454.044,1117749.266161,, 0.9235,0.623949,0.560997,724.359044,385.717486
1749334454.044,1117749.270195,, 0.8781,0.620076,0.569644,723.346087,383.904900
1749334454.077,1117749.274230,, 0.9496,0.620986,0.590930,718.862303,380.862824
1749334454.077,1117749.278264,, 0.8839,0.621889,0.588512,719.093661,381.369526
1749334454.077,1117749.282299,, 0.8807,0.612570,0.590428,716.495143,380.983766
1749334454.077,1117749.286333,, 0.9947,0.612878,0.589735,716.575511,381.128812
1749334454.077,1117749.290368,, 0.9979,0.606843,0.583056,714.820770,382.543813
1749334454.077,1117749.294402,, 0.9954,0.613234,0.583993,716.623333,382.335136
1749334454.077,1117749.298437,, 0.9954,0.609454,0.574158,715.473009,384.409615
1749334454.128,1117749.302471,, 1.0000,0.624515,0.572919,716.911430,385.543872
1749334454.128,1117749.306505,, 1.0000,0.712852,0.689164,742.955988,361.059418
1749334454.128,1117749.310540,, 0.9849,0.721493,0.694336,745.446057,359.968014
1749334454.128,1117749.314575,, 0.9849,0.730447,0.667737,747.728661,365.558644
1749334454.128,1117749.318609,, 0.9756,0.733419,0.669793,748.587690,365.124872
1749334454.128,1117749.322643,, 0.9756,0.754834,0.603619,754.022852,379.033363
1749334454.128,1117749.326678,, 0.9636,0.755598,0.616217,754.356164,376.383670
1749334454.128,1117749.330713,, 0.9636,0.779629,0.560874,760.631441,388.013176
1749334454.128,1117749.334747,, 1.0000,0.707469,0.646028,741.033303,370.133715
1749334454.161,1117749.338782,, 1.0000,0.718504,0.629406,740.878535,371.151512
