Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1784747397.3217,12:09:57.321,neutral,frown,0.246184,neutral,0.0
1784747397.353,12:09:57.353,neutral,frown,0.246184,neutral,0.0
1784747397.3843,12:09:57.384,neutral,neutral,0.0,neutral,0.0
1784747397.4157,12:09:57.415,neutral,neutral,0.0,neutral,0.0
1784747397.447,12:09:57.447,neutral,neutral,0.0,neutral,0.0
1784747397.4783,12:09:57.478,neutral,neutral,0.0,neutral,0.0
1784747397.5095,12:09:57.509,neutral,neutral,0.0,neutral,0.0
1784747397.5406,12:09:57.540,neutral,neutral,0.0,neutral,0.0
1784747397.5718,12:09:57.571,neutral,neutral,0.0,neutral,0.0
1784747397.6029,12:09:57.602,neutral,neutral,0.0,neutral,0.0
1784747397.634,12:09:57.634,neutral,neutral,0.0,neutral,0.0
1784747397.6652,12:09:57.665,neutral,neutral,0.0,neutral,0.0
1784747397.6963,12:09:57.696,neutral,neutral,0.0,neutral,0.0
1784747397.7277,12:09:57.727,neutral,neutral,0.0,neutral,0.0
1784747397.759,12:09:57.759,neutral,neutral,0.0,neutral,0.0
1784747397.7903,12:09:57.790,neutral,neutral,0.0,neutral,0.0
1784747397.8217,12:09:57.821,neutral,neutral,0.0,neutral,0.0
1784747397.853,12:09:57.853,neutral,neutral,0.0,neutral,0.0
1784747397.8842,12:09:57.884,neutral,neutral,0.0,neutral,0.0
1784747397.9155,12:09:57.915,neutral,neutral,0.0,neutral,0.0
1784747397.9466,12:09:57.946,blink,neutral,0.0,neutral,0.0
1784747397.9778,12:09:57.977,blink,neutral,0.0,neutral,0.0
1784747398.0089,12:09:58.008,blink,neutral,0.0,neutral,0.0
1784747398.0401,12:09:58.040,blink,neutral,0.0,neutral,0.0
1784747398.0712,12:09:58.071,blink,neutral,0.0,neutral,0.0
1784747398.1025,12:09:58.102,neutral,neutral,0.0,neutral,0.0
1784747398.1339,12:09:58.133,neutral,frown,0.300506,neutral,0.0
1784747398.1652,12:09:58.165,neutral,frown,0.300506,neutral,0.0
1784747398.1966,12:09:58.196,neutral,frown,0.300506,neutral,0.0
1784747398.2279,12:09:58.227,neutral,frown,0.300506,neutral,0.0
1784747398.259,12:09:58.259,neutral,frown,0.142868,neutral,0.0
1784747398.2902,12:09:58.290,neutral,frown,0.142868,neutral,0.0
1784747398.3213,12:09:58.321,neutral,frown,0.142868,neutral,0.0
1784747398.3525,12:09:58.352,neutral,frown,0.142868,neutral,0.0
1784747398.3836,12:09:58.383,neutral,neutral,0.0,neutral,0.0
1784747398.4147,12:09:58.414,neutral,neutral,0.0,neutral,0.0
1784747398.4461,12:09:58.446,neutral,neutral,0.0,neutral,0.0
1784747398.4774,12:09:58.477,neutral,neutral,0.0,neutral,0.0
1784747398.5088,12:09:58.508,neutral,frown,0.146268,neutral,0.0
1784747398.5401,12:09:58.540,neutral,frown,0.146268,neutral,0.0
1784747398.5714,12:09:58.571,neutral,frown,0.146268,neutral,0.0
1784747398.6028,12:09:58.602,neutral,frown,0.146268,neutral,0.0
1784747398.6341,12:09:58.634,neutral,neutral,0.0,neutral,0.0
1784747398.6653,12:09:58.665,neutral,neutral,0.0,neutral,0.0
1784747398.6964,12:09:58.696,neutral,neutral,0.0,neutral,0.0
1784747398.7275,12:09:58.727,neutral,neutral,0.0,neutral,0.0
1784747398.7587,12:09:58.758,neutral,neutral,0.0,neutral,0.0
1784747398.7898,12:09:58.789,neutral,neutral,0.0,neutral,0.0
1784747398.8209,12:09:58.820,neutral,neutral,0.0,neutral,0.0
1784747398.8523,12:09:58.852,neutral,neutral,0.0,neutral,0.0
1784747398.8836,12:09:58.883,neutral,neutral,0.0,neutral,0.0
1784747398.915,12:09:58.915,neutral,neutral,0.0,neutral,0.0
1784747398.9463,12:09:58.946,neutral,neutral,0.0,neutral,0.0
1784747398.9776,12:09:58.977,neutral,neutral,0.0,neutral,0.0
1784747399.009,12:09:59.009,neutral,neutral,0.0,neutral,0.0
1784747399.0401,12:09:59.040,neutral,neutral,0.0,neutral,0.0
1784747399.0713,12:09:59.071,neutral,neutral,0.0,neutral,0.0
1784747399.1024,12:09:59.102,neutral,neutral,0.0,neutral,0.0
1784747399.1335,12:09:59.133,neutral,neutral,0.0,neutral,0.0
1784747399.1647,12:09:59.164,neutral,neutral,0.0,neutral,0.0
1784747399.1958,12:09:59.195,neutral,neutral,0.0,neutral,0.0
1784747399.2272,12:09:59.227,neutral,neutral,0.0,neutral,0.0
1784747399.2585,12:09:59.258,neutral,neutral,0.0,neutral,0.0
1784747399.2898,12:09:59.289,neutral,neutral,0.0,neutral,0.0
1784747399.3212,12:09:59.321,neutral,neutral,0.0,neutral,0.0
1784747399.3525,12:09:59.352,neutral,neutral,0.0,neutral,0.0
1784747399.3837,12:09:59.383,neutral,neutral,0.0,neutral,0.0
1784747399.4148,12:09:59.414,neutral,neutral,0.0,neutral,0.0
1784747399.4459,12:09:59.445,neutral,neutral,0.0,neutral,0.0
1784747399.4771,12:09:59.477,neutral,neutral,0.0,neutral,0.0
1784747399.5082,12:09:59.508,neutral,neutral,0.0,neutral,0.0
1784747399.5394,12:09:59.539,neutral,neutral,0.0,neutral,0.0
1784747399.5705,12:09:59.570,neutral,neutral,0.0,neutral,0.0
1784747399.6016,12:09:59.601,neutral,neutral,0.0,neutral,0.0
1784747399.633,12:09:59.633,neutral,frown,0.269974,neutral,0.0
1784747399.6643,12:09:59.664,neutral,frown,0.269974,neutral,0.0
1784747399.6957,12:09:59.695,neutral,frown,0.269974,neutral,0.0
1784747399.727,12:09:59.727,neutral,frown,0.269974,neutral,0.0
1784747399.7583,12:09:59.758,neutral,frown,0.210196,neutral,0.0
1784747399.7895,12:09:59.789,neutral,frown,0.210196,neutral,0.0
1784747399.8206,12:09:59.820,neutral,frown,0.210196,neutral,0.0
1784747399.8518,12:09:59.851,neutral,frown,0.210196,neutral,0.0
1784747399.8829,12:09:59.882,neutral,frown,0.164077,neutral,0.0
1784747399.914,12:09:59.914,neutral,frown,0.164077,neutral,0.0
1784747399.9452,12:09:59.945,neutral,frown,0.164077,neutral,0.0
1784747399.9765,12:09:59.976,neutral,frown,0.164077,neutral,0.0
1784747400.0079,12:10:00.007,neutral,frown,0.555789,neutral,0.0
1784747400.0392,12:10:00.039,neutral,frown,0.555789,neutral,0.0
1784747400.0705,12:10:00.070,neutral,frown,0.555789,neutral,0.0
1784747400.1019,12:10:00.101,neutral,frown,0.555789,neutral,0.0
1784747400.1332,12:10:00.133,neutral,frown,0.729398,neutral,0.0
1784747400.1645,12:10:00.164,neutral,frown,0.729398,neutral,0.0
1784747400.1959,12:10:00.195,neutral,frown,0.729398,neutral,0.0
1784747400.227,12:10:00.227,neutral,frown,0.729398,neutral,0.0
1784747400.2582,12:10:00.258,neutral,frown,0.415275,neutral,0.0
1784747400.2893,12:10:00.289,neutral,frown,0.415275,neutral,0.0
1784747400.3204,12:10:00.320,neutral,frown,0.415275,neutral,0.0
1784747400.3516,12:10:00.351,neutral,frown,0.415275,neutral,0.0
1784747400.3829,12:10:00.382,neutral,frown,0.137459,neutral,0.0
1784747400.4143,12:10:00.414,neutral,frown,0.137459,neutral,0.0
1784747400.4456,12:10:00.445,neutral,frown,0.137459,neutral,0.0
1784747400.4769,12:10:00.476,neutral,frown,0.137459,neutral,0.0
1784747400.5083,12:10:00.508,neutral,frown,0.172434,neutral,0.0
1784747400.5396,12:10:00.539,neutral,frown,0.172434,neutral,0.0
1784747400.571,12:10:00.571,neutral,frown,0.172434,neutral,0.0
1784747400.6021,12:10:00.602,neutral,frown,0.172434,neutral,0.0
1784747400.6332,12:10:00.633,neutral,frown,0.216178,neutral,0.0
1784747400.6644,12:10:00.664,neutral,frown,0.216178,neutral,0.0
1784747400.6955,12:10:00.695,neutral,frown,0.216178,neutral,0.0
1784747400.7267,12:10:00.726,neutral,frown,0.216178,neutral,0.0
1784747400.758,12:10:00.758,neutral,neutral,0.0,laugh,0.748262
1784747400.7893,12:10:00.789,neutral,neutral,0.0,laugh,0.748262
1784747400.8207,12:10:00.820,neutral,neutral,0.0,laugh,0.748262
1784747400.852,12:10:00.852,neutral,neutral,0.0,laugh,0.748262
1784747400.8834,12:10:00.883,neutral,neutral,0.0,laugh,0.815802
1784747400.9145,12:10:00.914,neutral,neutral,0.0,laugh,0.815802
1784747400.9456,12:10:00.945,neutral,neutral,0.0,laugh,0.815802
1784747400.9768,12:10:00.976,neutral,neutral,0.0,laugh,0.815802
1784747401.0079,12:10:01.007,neutral,frown,0.368673,neutral,0.0
1784747401.0391,12:10:01.039,neutral,frown,0.368673,neutral,0.0
1784747401.0702,12:10:01.070,neutral,frown,0.368673,neutral,0.0
1784747401.1013,12:10:01.101,neutral,frown,0.368673,neutral,0.0
1784747401.1327,12:10:01.132,neutral,neutral,0.0,laugh,1.0
1784747401.164,12:10:01.164,neutral,neutral,0.0,laugh,1.0
1784747401.1954,12:10:01.195,neutral,neutral,0.0,laugh,1.0
1784747401.2267,12:10:01.226,neutral,neutral,0.0,laugh,1.0
1784747401.258,12:10:01.258,neutral,neutral,0.0,laugh,1.0
1784747401.2894,12:10:01.289,neutral,neutral,0.0,laugh,1.0
1784747401.3205,12:10:01.320,neutral,neutral,0.0,laugh,1.0
1784747401.3516,12:10:01.351,neutral,neutral,0.0,laugh,1.0
1784747401.3828,12:10:01.382,neutral,neutral,0.0,laugh,0.948922
1784747401.4141,12:10:01.414,neutral,neutral,0.0,laugh,0.948922
1784747401.4453,12:10:01.445,neutral,neutral,0.0,laugh,0.948922
1784747401.4764,12:10:01.476,neutral,neutral,0.0,laugh,0.948922
