Timestamp,Local time,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1784747397.3374,12:09:57.337,9,false,0.593077,-0.312073,0.595642,0.44281,0.99855,-0.158206,-0.096193,-26.528877,-61.689249,24.100981
1784747397.3687,12:09:57.368,10,false,0.592918,-0.312378,0.595459,0.443054,0.989761,-0.150881,-0.110353,-26.582634,-61.756076,23.978821
1784747397.4001,12:09:57.400,11,false,0.592947,-0.312439,0.595398,0.443054,0.980484,-0.14551,-0.095216,-26.601109,-61.681636,23.988507
1784747397.4314,12:09:57.431,12,false,0.592977,-0.312439,0.595459,0.442932,1.002457,-0.166506,-0.090822,-26.438289,-61.719317,23.952363
1784747397.4627,12:09:57.462,13,false,0.592948,-0.312378,0.59552,0.442932,0.991714,-0.160159,-0.095705,-26.51606,-61.603691,23.994603
1784747397.4939,12:09:57.493,14,false,0.593045,-0.312134,0.595642,0.44281,0.980484,-0.162112,-0.099123,-26.601007,-61.559443,24.017665
1784747397.525,12:09:57.525,15,false,0.592941,-0.312012,0.595764,0.442871,1.002457,-0.159182,-0.093263,-26.468105,-61.654204,24.098236
1784747397.5561,12:09:57.556,16,false,0.593081,-0.31189,0.595825,0.442688,0.990738,-0.157717,-0.103517,-26.453171,-61.530136,23.931489
1784747397.5873,12:09:57.587,17,false,0.59311,-0.311951,0.595764,0.442688,0.99855,-0.168948,-0.106935,-26.394868,-61.538105,23.886093
1784747397.6184,12:09:57.618,18,false,0.593064,-0.311951,0.595764,0.442749,0.994644,-0.170413,-0.090822,-26.417165,-61.649954,23.949914
1784747397.6496,12:09:57.649,19,false,0.593064,-0.311951,0.595764,0.442749,0.991714,-0.14844,-0.098634,-26.526955,-61.541264,23.962491
1784747397.6807,12:09:57.680,20,false,0.593236,-0.311768,0.595825,0.442566,0.984878,-0.1626,-0.097658,-26.595859,-61.488305,24.003718
1784747397.712,12:09:57.712,21,false,0.593252,-0.311768,0.595764,0.442627,0.990738,-0.169924,-0.104494,-26.642918,-61.306057,23.921192
1784747397.7434,12:09:57.743,22,false,0.593294,-0.31189,0.595703,0.442566,0.99855,-0.163088,-0.096681,-26.550687,-61.127081,23.966549
1784747397.7747,12:09:57.774,23,false,0.593417,-0.311829,0.595703,0.442444,0.99855,-0.148928,-0.093751,-26.557402,-61.280032,24.067185
1784747397.8061,12:09:57.806,24,false,0.593307,-0.312012,0.595581,0.442627,0.993668,-0.15967,-0.102052,-26.563446,-61.313012,24.00822
1784747397.8374,12:09:57.837,25,false,0.593278,-0.311951,0.595642,0.442627,0.985367,-0.169924,-0.095216,-26.688516,-61.342693,24.104689
1784747397.8685,12:09:57.868,26,false,0.593479,-0.311829,0.595642,0.442444,0.991714,-0.158694,-0.094728,-26.771171,-61.309591,24.131697
1784747397.8999,12:09:57.899,27,false,0.59354,-0.311768,0.595703,0.442322,0.995132,-0.160159,-0.099123,-26.651161,-61.339615,24.111142
1784747397.931,12:09:57.931,28,false,0.593663,-0.311707,0.595703,0.4422,0.995621,-0.157229,-0.093263,-26.617921,-61.396544,24.152457
1784747397.9622,12:09:57.962,29,false,0.593644,-0.31189,0.595581,0.442261,0.985367,-0.141604,-0.087404,-26.602959,-61.387964,24.219549
1784747397.9933,12:09:57.993,30,false,0.593987,-0.311462,0.595825,0.441772,0.983902,-0.146975,-0.102052,-26.604447,-61.440058,24.324794
1784747398.0244,12:09:58.024,31,false,0.594032,-0.311523,0.595703,0.441833,0.993668,-0.142092,-0.102052,-26.62074,-61.352358,24.150344
1784747398.0556,12:09:58.055,0,false,0.594032,-0.311523,0.595703,0.441833,0.991714,-0.154299,-0.105959,-26.605496,-61.24352,24.172786
