Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1784315531.2207,12:12:11.220,neutral,surprise,0.721811,neutral,0.0
1784315531.2518,12:12:11.251,neutral,surprise,0.721811,neutral,0.0
1784315531.2831,12:12:11.283,neutral,surprise,0.721811,neutral,0.0
1784315531.3143,12:12:11.314,blink,surprise,0.721811,neutral,0.0
1784315531.3454,12:12:11.345,blink,neutral,0.0,laugh,1.0
1784315531.3768,12:12:11.376,blink,neutral,0.0,laugh,1.0
1784315531.4079,12:12:11.407,blink,neutral,0.0,laugh,1.0
1784315531.439,12:12:11.439,blink,neutral,0.0,laugh,1.0
1784315531.4704,12:12:11.470,neutral,neutral,0.0,laugh,1.0
1784315531.5017,12:12:11.501,neutral,neutral,0.0,laugh,1.0
1784315531.5331,12:12:11.533,neutral,neutral,0.0,laugh,1.0
1784315531.5644,12:12:11.564,neutral,neutral,0.0,laugh,1.0
1784315531.5957,12:12:11.595,neutral,neutral,0.0,laugh,1.0
1784315531.6271,12:12:11.627,neutral,neutral,0.0,laugh,1.0
1784315531.6584,12:12:11.658,blink,neutral,0.0,laugh,1.0
1784315531.6895,12:12:11.689,blink,neutral,0.0,laugh,1.0
1784315531.7207,12:12:11.720,blink,neutral,0.0,laugh,1.0
1784315531.7518,12:12:11.751,blink,neutral,0.0,laugh,1.0
1784315531.783,12:12:11.783,blink,neutral,0.0,laugh,1.0
1784315531.8141,12:12:11.814,neutral,neutral,0.0,laugh,1.0
1784315531.8454,12:12:11.845,neutral,neutral,0.0,laugh,1.0
1784315531.8768,12:12:11.876,neutral,neutral,0.0,laugh,1.0
1784315531.9081,12:12:11.908,neutral,neutral,0.0,laugh,1.0
1784315531.9395,12:12:11.939,neutral,neutral,0.0,laugh,1.0
1784315531.9707,12:12:11.970,neutral,neutral,0.0,laugh,1.0
1784315532.0018,12:12:12.001,neutral,neutral,0.0,laugh,1.0
1784315532.033,12:12:12.033,neutral,neutral,0.0,laugh,1.0
1784315532.0641,12:12:12.064,neutral,neutral,0.0,laugh,1.0
1784315532.0953,12:12:12.095,neutral,neutral,0.0,laugh,1.0
1784315532.1264,12:12:12.126,neutral,neutral,0.0,laugh,1.0
1784315532.1575,12:12:12.157,neutral,neutral,0.0,laugh,1.0
1784315532.1887,12:12:12.188,neutral,neutral,0.0,laugh,1.0
1784315532.2198,12:12:12.219,neutral,neutral,0.0,laugh,0.833778
1784315532.2511,12:12:12.251,neutral,neutral,0.0,laugh,0.833778
1784315532.2825,12:12:12.282,neutral,neutral,0.0,laugh,0.833778
1784315532.3138,12:12:12.313,neutral,neutral,0.0,laugh,0.833778
1784315532.3452,12:12:12.345,neutral,surprise,0.380896,neutral,0.0
1784315532.3765,12:12:12.376,neutral,surprise,0.380896,neutral,0.0
1784315532.4078,12:12:12.407,blink,surprise,0.380896,neutral,0.0
1784315532.439,12:12:12.439,blink,surprise,0.380896,neutral,0.0
1784315532.4701,12:12:12.470,blink,surprise,0.152727,neutral,0.0
1784315532.5013,12:12:12.501,blink,surprise,0.152727,neutral,0.0
1784315532.5326,12:12:12.532,blink,surprise,0.152727,neutral,0.0
1784315532.5637,12:12:12.563,neutral,surprise,0.152727,neutral,0.0
1784315532.5949,12:12:12.594,neutral,surprise,0.103747,neutral,0.0
1784315532.6262,12:12:12.626,neutral,surprise,0.103747,neutral,0.0
1784315532.6576,12:12:12.657,neutral,surprise,0.103747,neutral,0.0
1784315532.6889,12:12:12.688,neutral,surprise,0.103747,neutral,0.0
1784315532.7202,12:12:12.720,neutral,surprise,0.146099,neutral,0.0
1784315532.7516,12:12:12.751,neutral,surprise,0.146099,neutral,0.0
1784315532.7829,12:12:12.782,neutral,surprise,0.146099,neutral,0.0
1784315532.8142,12:12:12.814,neutral,surprise,0.146099,neutral,0.0
1784315532.8454,12:12:12.845,neutral,surprise,0.471147,neutral,0.0
1784315532.8767,12:12:12.876,neutral,surprise,0.471147,neutral,0.0
1784315532.9079,12:12:12.907,neutral,surprise,0.471147,neutral,0.0
1784315532.939,12:12:12.939,neutral,surprise,0.471147,neutral,0.0
1784315532.9703,12:12:12.970,neutral,surprise,0.3889,neutral,0.0
1784315533.0017,12:12:13.001,neutral,surprise,0.3889,neutral,0.0
1784315533.033,12:12:13.033,neutral,surprise,0.3889,neutral,0.0
1784315533.0644,12:12:13.064,neutral,surprise,0.3889,neutral,0.0
1784315533.0957,12:12:13.095,neutral,neutral,0.0,laugh,1.0
1784315533.1268,12:12:13.126,neutral,neutral,0.0,laugh,1.0
1784315533.1582,12:12:13.158,neutral,neutral,0.0,laugh,1.0
1784315533.1893,12:12:13.189,neutral,neutral,0.0,laugh,1.0
1784315533.2205,12:12:13.220,neutral,frown,0.679424,neutral,0.0
1784315533.2516,12:12:13.251,neutral,frown,0.679424,neutral,0.0
1784315533.2827,12:12:13.282,neutral,frown,0.679424,neutral,0.0
1784315533.3139,12:12:13.313,neutral,frown,0.679424,neutral,0.0
1784315533.345,12:12:13.345,neutral,frown,0.660967,neutral,0.0
1784315533.3764,12:12:13.376,neutral,frown,0.660967,neutral,0.0
1784315533.4077,12:12:13.407,neutral,frown,0.660967,neutral,0.0
1784315533.439,12:12:13.439,neutral,frown,0.660967,neutral,0.0
1784315533.4704,12:12:13.470,neutral,frown,0.564517,neutral,0.0
1784315533.5017,12:12:13.501,neutral,frown,0.564517,neutral,0.0
1784315533.533,12:12:13.533,neutral,frown,0.564517,neutral,0.0
