DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-29_09-49-23.352,1785343763.352,1,1,A,B,8,FALSE,0,
2026-07-29_09-49-40.155,1785343780.155,1,2,A,C,16,FALSE,0,
2026-07-29_09-49-59.282,1785343799.282,1,3,B,C,19,FALSE,0,
2026-07-29_09-50-16.619,1785343816.619,1,4,A,B,17,FALSE,0,
2026-07-29_09-51-19.645,1785343879.645,1,5,C,A,63,FALSE,0,
2026-07-29_09-51-33.850,1785343893.850,1,6,C,B,14,FALSE,0,
2026-07-29_09-51-46.806,1785343906.806,1,7,A,B,12,FALSE,0,
2026-07-29_09-52-06.193,1785343926.193,1,8,A,C,19,FALSE,0,
2026-07-29_09-54-00.459,1785344040.459,1,9,B,C,114,FALSE,0,
2026-07-29_09-54-14.687,1785344054.687,1,10,B,A,14,FALSE,0,
2026-07-29_09-54-20.547,1785344060.547,1,11,C,A,5,FALSE,0,
2026-07-29_09-54-44.210,1785344084.210,1,12,B,C,23,FALSE,0,
2026-07-29_09-55-47.647,1785344147.647,1,13,A,B,63,TRUE,0,
2026-07-29_09-56-15.900,1785344175.900,1,14,A,C,28,FALSE,0,
2026-07-29_09-56-29.573,1785344189.573,1,15,B,C,13,FALSE,0,
2026-07-29_09-56-41.990,1785344201.990,1,16,A,B,12,FALSE,0,
2026-07-29_09-57-54.520,1785344274.520,1,17,C,A,72,TRUE,0,
2026-07-29_09-58-06.795,1785344286.795,1,18,C,B,12,FALSE,0,
2026-07-29_09-59-43.080,1785344383.080,1,19,A,C,96,FALSE,0,
2026-07-29_10-00-11.459,1785344411.459,1,20,B,A,28,FALSE,0,
2026-07-29_10-00-26.458,1785344426.458,1,21,C,A,14,FALSE,0,
2026-07-29_10-00-39.100,1785344439.100,1,22,C,B,12,FALSE,0,
2026-07-29_10-00-52.615,1785344452.615,1,23,A,C,13,FALSE,0,
2026-07-29_10-01-44.341,1785344504.341,1,24,C,B,51,FALSE,1,2026-07-29_10-01-23.283 - Invalid move from A to C
2026-07-29_10-02-00.786,1785344520.786,1,25,A,C,16,FALSE,0,
2026-07-29_10-02-13.380,1785344533.380,1,26,B,C,12,FALSE,0,
2026-07-29_10-02-26.013,1785344546.013,1,27,B,A,12,FALSE,0,
2026-07-29_10-02-37.832,1785344557.832,1,28,C,B,11,FALSE,0,
2026-07-29_10-02-53.970,1785344573.970,1,29,C,A,16,FALSE,0,
2026-07-29_10-03-06.504,1785344586.504,1,30,B,A,12,FALSE,0,
2026-07-29_10-03-19.741,1785344599.741,1,31,C,B,13,FALSE,0,
2026-07-29_10-03-49.883,1785344629.883,1,32,A,C,30,FALSE,0,
2026-07-29_10-04-53.610,1785344693.610,1,33,C,B,63,TRUE,0,
2026-07-29_10-05-07.907,1785344707.907,1,34,A,C,14,FALSE,0,
2026-07-29_10-05-23.890,1785344723.890,1,35,B,C,15,FALSE,0,
2026-07-29_10-05-36.905,1785344736.905,1,36,A,B,13,FALSE,0,
2026-07-29_10-05-50.790,1785344750.790,1,37,C,A,13,FALSE,0,
2026-07-29_10-06-04.759,1785344764.759,1,38,C,B,13,FALSE,0,
2026-07-29_10-06-16.592,1785344776.592,1,39,A,B,11,FALSE,0,
2026-07-29_10-06-31.602,1785344791.602,1,40,A,C,15,FALSE,0,
2026-07-29_10-07-27.235,1785344847.235,1,41,B,A,55,FALSE,0,
2026-07-29_10-07-42.662,1785344862.662,1,42,B,C,15,FALSE,0,
2026-07-29_10-07-56.517,1785344876.517,1,43,A,C,13,FALSE,0,
2026-07-29_10-08-11.676,1785344891.676,1,44,B,A,15,FALSE,0,
2026-07-29_10-09-14.909,1785344954.909,1,45,C,B,63,FALSE,0,
2026-07-29_10-09-28.115,1785344968.115,1,46,C,A,13,FALSE,0,
2026-07-29_10-09-52.269,1785344992.269,1,47,B,A,24,FALSE,0,
2026-07-29_10-10-08.396,1785345008.396,1,48,B,C,16,FALSE,0,
2026-07-29_10-10-27.951,1785345027.951,1,49,A,B,19,FALSE,0,
2026-07-29_10-10-43.521,1785345043.521,1,50,A,C,15,FALSE,0,
2026-07-29_10-11-16.838,1785345076.838,1,51,B,A,33,FALSE,0,
2026-07-29_10-11-28.168,1785345088.168,1,52,C,B,11,FALSE,0,
2026-07-29_10-11-41.128,1785345101.128,1,53,A,B,12,FALSE,0,
2026-07-29_10-11-53.911,1785345113.911,1,54,A,C,12,FALSE,0,
2026-07-29_10-12-06.027,1785345126.027,1,55,B,A,12,FALSE,0,
2026-07-29_10-12-19.085,1785345139.085,1,56,B,C,13,FALSE,0,
2026-07-29_10-12-31.862,1785345151.862,1,57,A,C,12,FALSE,0,
2026-07-29_10-12-50.833,1785345170.833,1,58,B,A,18,FALSE,0,
2026-07-29_10-14-07.911,1785345247.911,1,59,C,A,77,TRUE,0,
2026-07-29_10-14-18.680,1785345258.680,1,60,C,B,10,FALSE,0,
2026-07-29_10-14-43.063,1785345283.063,1,61,A,B,24,FALSE,0,
2026-07-29_10-14-56.263,1785345296.263,1,62,C,A,13,FALSE,0,
2026-07-29_10-15-08.652,1785345308.652,1,63,B,C,12,FALSE,0,
2026-07-29_10-15-20.693,1785345320.693,1,64,B,A,12,FALSE,0,
2026-07-29_10-15-33.280,1785345333.280,1,65,C,A,12,FALSE,0,
2026-07-29_10-15-44.895,1785345344.895,1,66,C,B,11,FALSE,0,
2026-07-29_10-15-59.239,1785345359.239,1,67,A,C,14,FALSE,0,
2026-07-29_10-16-15.849,1785345375.849,1,68,C,B,16,FALSE,0,
2026-07-29_10-16-28.742,1785345388.742,1,69,A,C,12,FALSE,0,
2026-07-29_10-16-40.839,1785345400.839,1,70,B,C,12,FALSE,0,
2026-07-29_10-16-51.949,1785345411.949,1,71,A,B,11,FALSE,0,
2026-07-29_10-17-04.869,1785345424.869,1,72,C,A,12,FALSE,0,
2026-07-29_10-17-16.417,1785345436.417,1,73,C,B,11,FALSE,0,
2026-07-29_10-17-27.568,1785345447.568,1,74,A,B,11,FALSE,0,
2026-07-29_10-17-40.363,1785345460.363,1,75,A,C,12,FALSE,0,
2026-07-29_10-18-00.283,1785345480.283,1,76,B,C,19,FALSE,0,
2026-07-29_10-18-11.924,1785345491.924,1,77,B,A,11,FALSE,0,
2026-07-29_10-18-23.476,1785345503.476,1,78,C,B,11,FALSE,0,
2026-07-29_10-18-36.668,1785345516.668,1,79,A,C,13,FALSE,0,
2026-07-29_10-18-51.000,1785345531.000,1,80,B,C,14,FALSE,0,
2026-07-29_10-19-02.990,1785345542.990,1,81,B,A,11,FALSE,0,
2026-07-29_10-19-13.507,1785345553.507,1,82,C,B,10,FALSE,0,
2026-07-29_10-19-26.727,1785345566.727,1,83,C,A,13,FALSE,0,
2026-07-29_10-19-38.216,1785345578.216,1,84,B,A,11,FALSE,0,
2026-07-29_10-19-50.240,1785345590.240,1,85,B,C,12,FALSE,0,
2026-07-29_10-20-06.154,1785345606.154,1,86,A,C,15,FALSE,0,
2026-07-29_10-20-17.087,1785345617.087,1,87,A,B,10,FALSE,0,
2026-07-29_10-20-29.709,1785345629.709,1,88,C,B,12,FALSE,0,
