localTimestamp,deviceTimestamp,step,confidence,surfaceX,surfaceY,imageX,imageY
1749139717.390,923650.236507,, 0.9857,0.471654,0.003130,597.462493,399.293634
1749139717.391,923650.244576,, 1.0000,0.476167,0.017100,598.789157,396.353623
1749139717.427,923650.252645,, 0.9681,0.475604,0.006318,598.102936,394.444105
1749139717.597,923650.439400,, 0.3299,0.454055,0.127671,585.023516,345.385476
1749139717.597,923650.447469,, 0.3355,0.392865,0.230454,564.223530,320.068831
1749139717.628,923650.463607,, 0.3595,0.411295,0.226800,570.733268,324.523444
1749139717.628,923650.471676,, 0.3168,0.428128,0.158664,576.880402,340.502313
1749139717.629,923650.479746,, 0.3191,0.405885,0.175920,569.612151,335.852485
1749139717.629,923650.487815,, 0.3326,0.405914,0.175708,569.623787,335.901437
1749139717.664,923650.495884,, 0.3446,0.401219,0.189188,569.425628,335.825723
1749139717.664,923650.503953,, 0.3549,0.423572,0.171378,576.738260,340.585490
1749139717.665,923650.512022,, 0.3330,0.401320,0.188737,569.463138,335.931033
1749139717.665,923650.520091,, 0.3683,0.423701,0.170912,576.784824,340.694981
1749139717.665,923650.528160,, 0.3619,0.401360,0.188338,569.480387,336.022398
1749139717.665,923650.536229,, 0.3500,0.444132,0.154265,583.472958,345.128657
1749139717.666,923650.461273,, 1.0000,0.423670,0.013010,578.610956,376.329049
1749139717.666,923650.544298,, 0.3170,0.510013,0.108072,604.952425,357.735713
1749139717.666,923650.469342,, 1.0000,0.426647,0.044431,579.191979,369.336599
1749139717.702,923650.552367,, 0.3935,0.397754,0.203381,568.261766,335.563400
1749139717.703,923650.477411,, 1.0000,0.426446,0.090291,578.619982,361.970231
1749139717.703,923650.560436,, 0.3553,0.420233,0.185470,575.579125,340.332063
1749139717.703,923650.485480,, 1.0000,0.422139,0.118426,576.939183,355.493100
1749139717.703,923650.493549,, 1.0000,0.427244,0.140303,578.307970,350.733188
1749139717.728,923650.584643,, 0.3757,0.398348,0.216523,568.022854,335.578114
