Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1783984326.284,16:12:06.284,60,false,0.0,4302.436,4439.231,4223.077,4190.128,4307.308
1783984326.2918,16:12:06.291,61,false,0.0,4270.256,4402.949,4245.897,4196.538,4301.026
1783984326.2996,16:12:06.299,62,false,0.0,4230.513,4357.051,4254.615,4195.385,4295.897
1783984326.3074,16:12:06.307,63,false,0.0,4187.308,4309.872,4239.359,4207.692,4284.487
1783984326.3152,16:12:06.315,64,false,0.0,4172.436,4274.359,4240.641,4210.897,4250.0
1783984326.323,16:12:06.323,65,false,0.0,4199.615,4298.205,4271.282,4165.128,4165.0
1783984326.3308,16:12:06.330,66,false,0.0,4177.051,4321.538,4274.359,4159.359,4121.923
1783984326.3386,16:12:06.338,67,false,0.0,4101.282,4272.051,4239.487,4245.256,4218.333
1783984326.3465,16:12:06.346,68,false,0.0,4119.744,4250.385,4234.872,4297.564,4275.385
1783984326.3543,16:12:06.354,69,false,0.0,4212.179,4311.282,4268.59,4262.179,4154.744
1783984326.3621,16:12:06.362,70,false,0.0,4229.103,4343.205,4270.641,4246.795,4108.846
1783984326.3699,16:12:06.369,71,false,0.0,4207.308,4335.641,4230.897,4273.974,4258.333
1783984326.3778,16:12:06.377,72,false,0.0,4233.333,4369.872,4201.538,4271.154,4339.615
1783984326.3856,16:12:06.385,73,false,0.0,4277.308,4410.641,4203.333,4261.41,4290.897
1783984326.3935,16:12:06.393,74,false,0.0,4321.282,4422.436,4222.564,4281.538,4309.744
1783984326.4013,16:12:06.401,75,false,0.0,4341.154,4425.513,4233.333,4275.385,4406.41
1783984326.4092,16:12:06.409,76,false,0.0,4318.846,4396.282,4223.974,4237.051,4443.333
1783984326.417,16:12:06.417,77,false,0.0,4320.128,4368.077,4223.077,4219.744,4371.923
1783984326.4248,16:12:06.424,78,false,0.0,4321.154,4387.179,4235.0,4202.949,4291.667
1783984326.4326,16:12:06.432,79,false,0.0,4258.205,4365.0,4233.205,4176.667,4305.641
1783984326.4405,16:12:06.440,80,false,0.0,4227.564,4297.564,4238.718,4193.974,4314.487
1783984326.4483,16:12:06.448,81,false,0.0,4238.846,4288.333,4257.821,4235.256,4261.538
1783984326.4561,16:12:06.456,82,false,0.0,4183.077,4270.897,4245.385,4247.821,4277.949
1783984326.4639,16:12:06.463,83,false,0.0,4151.667,4220.0,4231.026,4242.179,4277.436
1783984326.4718,16:12:06.471,84,false,0.0,4203.462,4282.821,4260.897,4229.231,4143.974
1783984326.4796,16:12:06.479,85,false,0.0,4192.821,4372.821,4272.821,4235.0,4133.462
1783984326.4874,16:12:06.487,86,false,0.0,4162.308,4319.231,4240.128,4285.256,4299.872
1783984326.4952,16:12:06.495,87,false,0.0,4238.333,4285.256,4225.513,4301.41,4331.795
1783984326.5029,16:12:06.502,88,false,0.0,4302.692,4382.308,4227.564,4256.538,4254.615
1783984326.5107,16:12:06.510,89,false,0.0,4295.0,4433.974,4221.795,4248.333,4283.333
1783984326.5185,16:12:06.518,90,false,0.0,4314.744,4407.179,4234.615,4255.0,4338.974
1783984326.5263,16:12:06.526,91,false,0.0,4333.205,4406.41,4248.462,4210.769,4350.385
1783984326.534,16:12:06.534,92,false,0.0,4302.436,4398.974,4225.769,4205.385,4378.462
1783984326.5418,16:12:06.541,93,false,0.0,4281.282,4356.154,4198.462,4248.333,4386.923
1783984326.5497,16:12:06.549,94,false,0.0,4276.923,4328.077,4203.846,4225.385,4332.949
1783984326.5575,16:12:06.557,95,false,0.0,4261.538,4327.564,4230.641,4182.308,4259.231
1783984326.5652,16:12:06.565,96,false,0.0,4240.385,4331.667,4249.872,4198.718,4212.692
1783984326.573,16:12:06.573,97,false,0.0,4218.333,4306.795,4251.795,4206.41,4177.692
1783984326.5808,16:12:06.580,98,false,0.0,4202.308,4276.538,4258.077,4191.41,4116.026
1783984326.5886,16:12:06.588,99,false,0.0,4168.205,4294.872,4265.256,4219.872,4129.487
1783984326.5965,16:12:06.596,100,false,0.0,4128.333,4294.615,4249.359,4272.949,4272.692
1783984326.6043,16:12:06.604,101,false,0.0,4181.154,4246.026,4244.744,4298.718,4323.59
1783984326.6121,16:12:06.612,102,false,0.0,4278.718,4274.103,4263.59,4287.949,4240.769
1783984326.6199,16:12:06.619,103,false,0.0,4291.923,4360.769,4249.231,4257.179,4257.179
1783984326.6277,16:12:06.627,104,false,0.0,4308.333,4386.538,4224.872,4242.821,4318.846
1783984326.6355,16:12:06.635,105,false,0.0,4380.385,4400.385,4247.436,4253.462,4301.282
1783984326.6433,16:12:06.643,106,false,0.0,4380.256,4433.718,4261.538,4261.154,4344.744
1783984326.6511,16:12:06.651,107,false,0.0,4345.513,4427.436,4226.154,4255.513,4418.077
1783984326.6588,16:12:06.658,108,false,0.0,4360.385,4407.949,4194.359,4239.231,4397.821
1783984326.6666,16:12:06.666,109,false,0.0,4340.0,4389.103,4192.179,4216.41,4376.154
1783984326.6744,16:12:06.674,110,false,0.0,4293.333,4358.462,4209.872,4199.231,4332.564
1783984326.6822,16:12:06.682,111,false,0.0,4280.0,4355.513,4235.769,4189.103,4227.436
1783984326.6899,16:12:06.689,112,false,0.0,4243.974,4341.282,4249.872,4184.487,4203.974
1783984326.6977,16:12:06.697,113,false,0.0,4199.359,4292.051,4258.333,4189.487,4208.718
1783984326.7056,16:12:06.705,114,false,0.0,4170.256,4282.436,4257.821,4210.897,4176.538
1783984326.7134,16:12:06.713,115,false,0.0,4135.128,4276.41,4239.487,4248.333,4222.308
1783984326.7213,16:12:06.721,116,false,0.0,4183.718,4256.154,4253.974,4263.59,4195.769
1783984326.7291,16:12:06.729,117,false,0.0,4267.949,4312.436,4293.462,4241.795,4066.795
1783984326.7369,16:12:06.736,118,false,0.0,4219.359,4358.333,4273.077,4241.026,4185.128
1783984326.7447,16:12:06.744,119,false,0.0,4187.308,4327.821,4235.641,4261.154,4381.795
1783984326.7526,16:12:06.752,120,false,0.0,4303.846,4373.59,4255.897,4250.513,4282.308
1783984326.7604,16:12:06.760,121,false,0.0,4357.436,4454.103,4260.128,4248.59,4218.974
1783984326.7682,16:12:06.768,122,false,0.0,4302.564,4416.923,4215.128,4274.231,4386.923
1783984326.776,16:12:06.776,123,false,0.0,4294.744,4375.0,4193.974,4260.385,4425.256
1783984326.784,16:12:06.784,124,false,0.0,4306.795,4405.513,4201.282,4221.026,4332.821
1783984326.7918,16:12:06.791,125,false,0.0,4287.564,4410.0,4207.821,4209.359,4307.949
1783984326.7996,16:12:06.799,126,false,0.0,4262.436,4378.205,4222.436,4204.744,4255.256
1783984326.8074,16:12:06.807,127,false,0.0,4234.872,4338.462,4240.0,4195.641,4186.667
1783984326.8153,16:12:06.815,0,false,0.0,4225.0,4308.718,4252.179,4186.538,4193.718
1783984326.8231,16:12:06.823,1,false,0.0,4181.282,4309.744,4250.513,4176.026,4216.026
1783984326.8309,16:12:06.830,2,false,0.0,4098.718,4279.872,4236.667,4201.923,4223.846
1783984326.8387,16:12:06.838,3,false,0.0,4145.769,4252.308,4258.974,4250.0,4167.051
1783984326.8464,16:12:06.846,4,false,0.0,4245.128,4318.846,4302.436,4251.667,4085.256
1783984326.8543,16:12:06.854,5,false,0.0,4176.154,4344.615,4287.179,4234.615,4188.205
1783984326.8621,16:12:06.862,6,false,0.0,4127.051,4287.051,4250.256,4252.051,4334.615
1783984326.8699,16:12:06.869,7,false,0.0,4253.333,4342.692,4259.487,4265.769,4257.692
1783984326.8776,16:12:06.877,8,false,0.0,4308.718,4442.179,4254.103,4259.103,4216.154
1783984326.8854,16:12:06.885,9,false,0.0,4257.564,4403.462,4209.487,4271.41,4380.128
1783984326.8932,16:12:06.893,10,false,0.0,4279.872,4364.359,4196.026,4284.359,4428.846
1783984326.901,16:12:06.901,11,false,0.0,4302.308,4416.667,4211.026,4245.128,4317.821
1783984326.9087,16:12:06.908,12,false,0.0,4261.282,4431.026,4204.359,4197.436,4308.59
1783984326.9165,16:12:06.916,13,false,0.0,4249.487,4381.154,4188.462,4229.359,4376.026
1783984326.9243,16:12:06.924,14,false,0.0,4248.077,4321.026,4192.051,4277.051,4359.615
1783984326.9322,16:12:06.932,15,false,0.0,4216.41,4294.487,4215.897,4216.667,4261.538
1783984326.9399,16:12:06.939,16,false,0.0,4177.308,4321.154,4241.923,4139.872,4193.974
1783984326.9477,16:12:06.947,17,false,0.0,4130.256,4293.462,4252.051,4195.897,4233.59
1783984326.9555,16:12:06.955,18,false,0.0,4130.0,4202.179,4260.385,4286.41,4261.026
1783984326.9633,16:12:06.963,19,false,0.0,4181.923,4225.0,4278.846,4269.615,4172.949
1783984326.971,16:12:06.971,20,false,0.0,4163.462,4315.513,4281.538,4222.564,4137.564
