Timestamp,Local time,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1783984326.3778,16:12:06.377,18,false,0.245512,-0.50061,0.445435,0.7005,0.934585,-0.380377,-0.101076,-21.007844,-68.021487,21.796769
1783984326.4092,16:12:06.409,19,false,0.245791,-0.500427,0.445679,0.700378,0.934585,-0.380377,-0.097169,-21.030505,-68.023337,21.875122
1783984326.4405,16:12:06.440,20,false,0.245603,-0.500488,0.445618,0.700439,0.915053,-0.387213,-0.109377,-20.931269,-68.025001,21.840963
1783984326.4718,16:12:06.471,21,false,0.246019,-0.500183,0.445923,0.700317,0.913588,-0.3794,-0.100099,-20.886819,-67.906868,21.914897
1783984326.5029,16:12:06.502,22,false,0.246005,-0.500244,0.445862,0.700317,0.920424,-0.383307,-0.106447,-20.846813,-67.875317,21.87676
1783984326.534,16:12:06.534,23,false,0.245879,-0.500244,0.44574,0.700439,0.93019,-0.387701,-0.108888,-21.050069,-67.906737,21.648038
1783984326.5652,16:12:06.565,24,false,0.245664,-0.500427,0.445557,0.7005,0.930678,-0.375006,-0.114748,-21.11337,-67.890154,21.516956
1783984326.5965,16:12:06.596,25,false,0.245463,-0.500549,0.445435,0.700562,0.920912,-0.375982,-0.091798,-21.140432,-67.845321,21.578429
1783984326.6277,16:12:06.627,26,false,0.245463,-0.500549,0.445435,0.700562,0.919448,-0.374029,-0.109377,-21.32928,-67.894694,21.573939
1783984326.6588,16:12:06.658,27,false,0.245789,-0.500366,0.445557,0.7005,0.936538,-0.373541,-0.097658,-21.245029,-67.909223,21.539991
1783984326.6899,16:12:06.689,28,false,0.245587,-0.500488,0.445435,0.700562,0.936538,-0.38233,-0.109377,-21.39351,-67.922298,21.464576
1783984326.7213,16:12:06.721,29,false,0.245184,-0.500732,0.44519,0.700684,0.917494,-0.377447,-0.097169,-21.377604,-67.963974,21.441564
1783984326.7526,16:12:06.752,30,false,0.245281,-0.500793,0.445068,0.700684,0.927749,-0.372564,-0.100587,-21.318428,-68.076251,21.241407
1783984326.784,16:12:06.784,31,false,0.245029,-0.500854,0.444946,0.700806,0.924819,-0.381353,-0.10547,-21.280123,-68.117486,21.225758
1783984326.8153,16:12:06.815,0,false,0.245001,-0.500977,0.444824,0.700806,0.933608,-0.379889,-0.102541,-21.200787,-67.990104,21.121951
1783984326.8464,16:12:06.846,1,false,0.244406,-0.501282,0.444519,0.700989,0.926284,-0.384283,-0.113771,-21.174246,-67.935276,20.998616
1783984326.8776,16:12:06.877,2,false,0.244342,-0.501282,0.444458,0.70105,0.924819,-0.38233,-0.109865,-21.225128,-67.9607,21.067062
1783984326.9087,16:12:06.908,3,false,0.24467,-0.501099,0.44458,0.700989,0.921401,-0.374029,-0.102052,-21.226061,-67.923767,21.218386
1783984326.9399,16:12:06.939,4,false,0.24467,-0.501099,0.44458,0.700989,0.924331,-0.3794,-0.095216,-21.256808,-68.040065,21.324669
1783984326.971,16:12:06.971,5,false,0.244873,-0.500977,0.444702,0.700928,0.928725,-0.375494,-0.116213,-21.149896,-68.05501,21.405371
1783984327.0021,16:12:07.002,6,false,0.244684,-0.501038,0.444641,0.700989,0.929213,-0.387701,-0.103029,-21.11349,-68.053507,21.463049
1783984327.0333,16:12:07.033,7,false,0.24467,-0.501099,0.44458,0.700989,0.920424,-0.382818,-0.111818,-21.065771,-68.171785,21.350466
1783984327.0646,16:12:07.064,8,false,0.244592,-0.50116,0.444458,0.70105,0.928237,-0.374517,-0.106447,-21.00787,-68.21842,21.338865
1783984327.096,16:12:07.096,9,false,0.244514,-0.501221,0.444336,0.701111,0.929702,-0.381353,-0.106935,-21.045483,-68.095899,21.373286
1783984327.1273,16:12:07.127,10,false,0.24497,-0.501038,0.44458,0.700928,0.925795,-0.385748,-0.104494,-21.213918,-67.970676,21.493987
1783984327.1586,16:12:07.158,11,false,0.24497,-0.501038,0.44458,0.700928,0.929213,-0.381842,-0.107912,-21.230926,-68.067329,21.512895
1783984327.19,16:12:07.190,12,false,0.24525,-0.500854,0.444824,0.700806,0.925307,-0.378912,-0.09424,-21.231279,-68.124409,21.559821
1783984327.2211,16:12:07.221,13,false,0.245076,-0.500854,0.444824,0.700867,0.927749,-0.383307,-0.117189,-21.24655,-68.235597,21.51233
1783984327.2523,16:12:07.252,14,false,0.245012,-0.500854,0.444763,0.700928,0.928725,-0.380865,-0.100587,-21.275248,-68.216035,21.51445
1783984327.2834,16:12:07.283,15,false,0.245076,-0.500854,0.444824,0.700867,0.929213,-0.384283,-0.103029,-21.166492,-68.213383,21.471497
1783984327.3145,16:12:07.314,16,false,0.244887,-0.500916,0.444763,0.700928,0.928237,-0.386236,-0.109865,-21.173288,-68.196043,21.373024
1783984327.3457,16:12:07.345,17,false,0.244781,-0.501099,0.444519,0.700989,0.920912,-0.383307,-0.118654,-21.11959,-68.150529,21.299351
1783984327.3768,16:12:07.376,18,false,0.244984,-0.500977,0.444641,0.700928,0.923842,-0.374517,-0.101564,-21.101169,-68.229197,21.307815
1783984327.4082,16:12:07.408,19,false,0.245123,-0.500854,0.444702,0.700928,0.932143,-0.377935,-0.110842,-21.00982,-68.225229,21.464972
1783984327.4393,16:12:07.439,20,false,0.245339,-0.500671,0.444885,0.700867,0.921889,-0.370123,-0.1084,-20.987422,-68.206704,21.576505
1783984327.4707,16:12:07.470,21,false,0.245527,-0.50061,0.444946,0.700806,0.92726,-0.368658,-0.100587,-20.967264,-68.219939,21.5423
1783984327.502,16:12:07.502,22,false,0.245325,-0.500732,0.444824,0.700867,0.928725,-0.371099,-0.10547,-20.859398,-67.992589,21.556377
1783984327.5333,16:12:07.533,23,false,0.245499,-0.500732,0.444824,0.700806,0.920912,-0.3794,-0.103029,-20.866996,-67.937513,21.613908
1783984327.5647,16:12:07.564,24,false,0.245389,-0.500732,0.444885,0.700806,0.919448,-0.378424,-0.104494,-20.873835,-68.037482,21.590916
1783984327.5958,16:12:07.595,25,false,0.245513,-0.500671,0.444885,0.700806,0.924331,-0.390631,-0.111818,-20.909897,-68.037732,21.689855
1783984327.627,16:12:07.627,26,false,0.245541,-0.500549,0.445007,0.700806,0.923842,-0.371588,-0.104005,-20.97226,-68.037957,21.719084
1783984327.6581,16:12:07.658,27,false,0.245651,-0.500549,0.444946,0.700806,0.929213,-0.383307,-0.097658,-20.893803,-68.053113,21.790252
1783984327.6892,16:12:07.689,28,false,0.245665,-0.500488,0.445007,0.700806,0.929213,-0.378912,-0.114748,-20.868053,-67.991984,21.824395
1783984327.7204,16:12:07.720,29,false,0.245867,-0.500366,0.445129,0.700745,0.929213,-0.377447,-0.110842,-21.099093,-67.936968,21.929893
1783984327.7515,16:12:07.751,30,false,0.246332,-0.500122,0.445435,0.700562,0.92726,-0.373053,-0.103517,-21.262167,-67.977177,21.935119
1783984327.7827,16:12:07.782,31,false,0.246054,-0.500305,0.44519,0.700684,0.93019,-0.381842,-0.104982,-21.184627,-68.043272,21.939821
1783984327.8138,16:12:07.813,0,false,0.246068,-0.500244,0.445251,0.700684,0.925307,-0.374517,-0.104494,-21.204564,-68.087805,21.914146
1783984327.8451,16:12:07.845,1,false,0.246082,-0.500183,0.445313,0.700684,0.928237,-0.376471,-0.108888,-21.102876,-68.097976,21.9359
1783984327.8765,16:12:07.876,2,false,0.245894,-0.500244,0.445251,0.700745,0.91603,-0.382818,-0.100099,-21.130988,-68.137038,21.850802
1783984327.9078,16:12:07.907,3,false,0.245867,-0.500366,0.445129,0.700745,0.937514,-0.371099,-0.107424,-21.156288,-68.142286,21.87889
1783984327.9392,16:12:07.939,4,false,0.246041,-0.500366,0.445129,0.700684,0.920912,-0.377447,-0.108888,-21.104289,-68.221778,21.799493
1783984327.9705,16:12:07.970,5,false,0.246118,-0.500305,0.445251,0.700623,0.924331,-0.380865,-0.098634,-21.13226,-68.17369,21.728035
1783984328.0018,16:12:08.001,6,false,0.246118,-0.500305,0.445251,0.700623,0.932143,-0.377935,-0.104494,-21.022849,-68.160319,21.708585
1783984328.0332,16:12:08.033,7,false,0.245994,-0.500366,0.445251,0.700623,0.929213,-0.372076,-0.090822,-21.16364,-68.163239,21.526587
1783984328.0643,16:12:08.064,8,false,0.245729,-0.500488,0.445068,0.700745,0.925795,-0.3794,-0.107912,-21.140814,-68.121005,21.512328
1783984328.0955,16:12:08.095,9,false,0.245916,-0.500427,0.445129,0.700684,0.926284,-0.376471,-0.10547,-21.12027,-68.202626,21.469587
1783984328.1268,16:12:08.126,10,false,0.24593,-0.500366,0.44519,0.700684,0.919936,-0.375006,-0.096193,-21.012058,-68.186361,21.446074
1783984328.1579,16:12:08.157,11,false,0.245916,-0.500427,0.445129,0.700684,0.919448,-0.375006,-0.102052,-21.138975,-68.231538,21.454819
1783984328.1891,16:12:08.189,12,false,0.245839,-0.500488,0.445007,0.700745,0.928725,-0.386236,-0.104494,-21.223292,-68.272197,21.328106
1783984328.2204,16:12:08.220,13,false,0.245651,-0.500549,0.444946,0.700806,0.917494,-0.391608,-0.101076,-21.179547,-68.204114,21.423418
1783984328.2518,16:12:08.251,14,false,0.245715,-0.500549,0.445007,0.700745,0.93019,-0.378424,-0.102052,-21.125222,-68.307331,21.314798
1783984328.2831,16:12:08.283,15,false,0.245701,-0.50061,0.444946,0.700745,0.925307,-0.378424,-0.101564,-21.136145,-68.534811,21.336672
1783984328.3144,16:12:08.314,16,false,0.245577,-0.500671,0.444946,0.700745,0.921889,-0.374517,-0.101076,-21.145976,-68.515236,21.401219
1783984328.3458,16:12:08.345,17,false,0.245668,-0.500549,0.445129,0.700684,0.925795,-0.38233,-0.095216,-21.184732,-68.527525,21.459312
1783984328.3769,16:12:08.376,18,false,0.246195,-0.500244,0.445374,0.700562,0.934096,-0.381842,-0.120607,-21.114935,-68.613355,21.616272
1783984328.4081,16:12:08.408,19,false,0.246395,-0.500122,0.445496,0.7005,0.922866,-0.385748,-0.097169,-20.977348,-68.556018,21.578091
1783984328.4392,16:12:08.439,20,false,0.246007,-0.500305,0.445313,0.700623,0.923354,-0.369635,-0.111818,-20.973151,-68.369829,21.528773
1783984328.4703,16:12:08.470,21,false,0.245994,-0.500366,0.445251,0.700623,0.923354,-0.38233,-0.098634,-20.969374,-68.456475,21.514295
