DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-13_11-07-24.071,1783966044.071,2,8,A,C,11,FALSE,0,
2026-07-13_11-07-37.361,1783966057.361,2,9,B,C,13,FALSE,0,
2026-07-13_11-07-49.014,1783966069.014,2,10,B,A,11,FALSE,0,
2026-07-13_11-08-01.487,1783966081.487,2,11,C,A,12,FALSE,0,
2026-07-13_11-08-15.019,1783966095.019,2,12,B,C,13,FALSE,0,
2026-07-13_11-08-25.612,1783966105.612,2,13,A,B,10,FALSE,0,
2026-07-13_11-08-37.834,1783966117.834,2,14,A,C,12,FALSE,0,
2026-07-13_11-08-50.135,1783966130.135,2,15,B,C,12,FALSE,0,
2026-07-13_11-09-01.258,1783966141.258,2,16,A,B,11,FALSE,0,
2026-07-13_11-09-51.558,1783966191.558,2,17,C,B,50,FALSE,0,
2026-07-13_11-10-04.544,1783966204.544,2,18,B,A,12,FALSE,0,
2026-07-13_11-10-16.438,1783966216.438,2,19,C,B,11,FALSE,0,
2026-07-13_11-10-27.569,1783966227.569,2,20,A,B,11,FALSE,0,
2026-07-13_11-10-40.077,1783966240.077,2,21,C,A,12,FALSE,0,
2026-07-13_11-10-51.320,1783966251.320,2,22,B,C,11,FALSE,0,
2026-07-13_11-11-03.121,1783966263.121,2,23,B,A,11,FALSE,0,
2026-07-13_11-11-15.421,1783966275.421,2,24,C,A,12,FALSE,0,
2026-07-13_11-11-27.593,1783966287.593,2,25,C,B,12,FALSE,0,
2026-07-13_11-11-45.558,1783966305.558,2,26,A,B,17,FALSE,0,
2026-07-13_11-11-57.852,1783966317.852,2,27,A,C,12,FALSE,0,
2026-07-13_11-12-08.933,1783966328.933,2,28,B,C,11,FALSE,0,
2026-07-13_11-12-20.301,1783966340.301,2,29,A,B,11,FALSE,0,
2026-07-13_11-12-33.398,1783966353.398,2,30,C,A,13,FALSE,0,
2026-07-13_11-12-45.655,1783966365.655,2,31,C,B,12,FALSE,0,
2026-07-13_11-12-56.726,1783966376.726,2,32,A,B,11,FALSE,0,
2026-07-13_11-13-09.787,1783966389.787,2,33,A,C,13,FALSE,0,
2026-07-13_11-14-01.734,1783966441.734,2,34,B,C,51,FALSE,0,
2026-07-13_11-14-12.332,1783966452.332,2,35,B,A,10,FALSE,0,
2026-07-13_11-14-24.833,1783966464.833,2,36,C,A,12,FALSE,0,
2026-07-13_11-14-35.964,1783966475.964,2,37,B,C,11,FALSE,0,
2026-07-13_11-14-46.992,1783966486.992,2,38,A,B,11,FALSE,0,
2026-07-13_11-14-59.634,1783966499.634,2,39,A,C,12,FALSE,0,
2026-07-13_11-15-10.644,1783966510.644,2,40,B,C,11,FALSE,0,
2026-07-13_11-15-27.998,1783966527.998,2,41,B,A,17,FALSE,0,
2026-07-13_11-16-27.596,1783966587.596,2,42,C,A,59,FALSE,0,
2026-07-13_11-16-39.306,1783966599.306,2,43,C,B,11,FALSE,0,
2026-07-13_11-16-50.529,1783966610.529,2,44,A,B,11,FALSE,0,
2026-07-13_11-17-03.177,1783966623.177,2,45,C,A,12,FALSE,0,
2026-07-13_11-17-14.422,1783966634.422,2,46,B,C,11,FALSE,0,
2026-07-13_11-17-26.070,1783966646.070,2,47,B,A,11,FALSE,0,
2026-07-13_11-17-38.530,1783966658.530,2,48,C,A,12,FALSE,0,
2026-07-13_11-17-50.617,1783966670.617,2,49,B,C,12,FALSE,0,
2026-07-13_11-18-10.713,1783966690.713,2,50,A,B,20,FALSE,0,
2026-07-13_11-18-22.417,1783966702.417,2,51,A,C,11,FALSE,0,
2026-07-13_11-18-34.569,1783966714.569,2,52,B,C,12,FALSE,0,
2026-07-13_11-18-45.485,1783966725.485,2,53,A,B,10,FALSE,0,
2026-07-13_11-18-57.299,1783966737.299,2,54,C,A,11,FALSE,0,
2026-07-13_11-19-08.544,1783966748.544,2,55,C,B,11,FALSE,0,
2026-07-13_11-19-19.606,1783966759.606,2,56,A,B,11,FALSE,0,
2026-07-13_11-19-32.405,1783966772.405,2,57,A,C,12,FALSE,0,
2026-07-13_11-19-43.439,1783966783.439,2,58,B,C,11,FALSE,0,
2026-07-13_11-19-55.069,1783966795.069,2,59,B,A,11,FALSE,0,
2026-07-13_11-20-06.851,1783966806.851,2,60,C,A,11,FALSE,0,
2026-07-13_11-20-18.787,1783966818.787,2,61,B,C,11,FALSE,0,
2026-07-13_11-20-29.796,1783966829.796,2,62,A,B,11,FALSE,0,
2026-07-13_11-20-42.512,1783966842.512,2,63,A,C,12,FALSE,0,
2026-07-13_11-20-54.519,1783966854.519,2,64,B,C,12,FALSE,0,
