Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1784322688.8541","14:11:28.854","4","83","1.0","42","4","2","2","1","4"
"1784322689.3539","14:11:29.353","4","83","1.0","67","4","4","2","2","4"
"1784322689.8538","14:11:29.853","4","83","1.0","67","4","4","2","2","4"
"1784322690.3533","14:11:30.353","4","83","1.0","83","4","4","2","4","4"
"1784322690.8532","14:11:30.853","4","83","1.0","83","4","4","4","2","4"
"1784322691.3534","14:11:31.353","4","83","1.0","67","4","4","2","2","4"
"1784322691.8527","14:11:31.852","4","83","1.0","67","4","4","2","2","4"
"1784322692.3527","14:11:32.352","4","83","1.0","83","4","4","4","2","4"
"1784322692.8525","14:11:32.852","4","83","1.0","83","4","4","4","2","4"
"1784322693.3519","14:11:33.351","4","83","1.0","83","4","4","4","2","4"
"1784322693.8517","14:11:33.851","4","83","1.0","83","4","4","4","2","4"
"1784322694.3525","14:11:34.352","4","83","1.0","83","4","4","4","2","4"
"1784322694.8519","14:11:34.851","4","83","1.0","83","4","4","4","2","4"
"1784322695.3513","14:11:35.351","4","83","1.0","83","4","4","4","2","4"
"1784322695.8513","14:11:35.851","4","83","1.0","83","4","4","4","2","4"
"1784322696.3511","14:11:36.351","4","83","1.0","67","4","4","2","2","4"
"1784322696.851","14:11:36.851","4","83","1.0","67","4","4","2","2","4"
"1784322697.3514","14:11:37.351","4","83","1.0","83","4","4","4","2","4"
"1784322697.851","14:11:37.851","4","83","1.0","67","4","4","2","2","4"
"1784322698.3504","14:11:38.350","4","83","1.0","83","4","4","4","2","4"
"1784322698.8508","14:11:38.850","4","83","1.0","83","4","4","4","2","4"
"1784322699.3506","14:11:39.350","4","83","1.0","75","4","4","4","1","4"
"1784322699.8502","14:11:39.850","4","83","1.0","67","4","4","2","2","4"
"1784322700.3503","14:11:40.350","4","83","1.0","83","4","4","2","4","4"
"1784322700.8501","14:11:40.850","4","83","1.0","67","4","4","2","2","4"
"1784322701.3498","14:11:41.349","4","83","1.0","83","4","4","4","2","4"
"1784322701.8494","14:11:41.849","4","83","1.0","75","4","4","4","1","4"
"1784322702.3494","14:11:42.349","4","83","1.0","83","4","4","4","2","4"
"1784322702.8488","14:11:42.848","4","83","1.0","83","4","4","4","2","4"
"1784322703.3488","14:11:43.348","4","83","1.0","83","4","4","4","2","4"
"1784322703.8488","14:11:43.848","4","83","1.0","67","4","4","2","2","4"
"1784322704.3482","14:11:44.348","4","83","1.0","42","4","2","2","1","4"
"1784322704.848","14:11:44.848","4","83","1.0","42","4","2","2","1","4"
"1784322705.3484","14:11:45.348","4","83","1.0","67","4","4","2","2","4"
"1784322705.8476","14:11:45.847","4","83","1.0","67","4","4","2","2","4"
"1784322706.3479","14:11:46.347","4","83","1.0","67","4","4","2","2","4"
"1784322706.8481","14:11:46.848","4","83","1.0","83","4","4","4","2","4"
"1784322707.3477","14:11:47.347","4","83","1.0","83","4","4","4","2","4"
"1784322707.8477","14:11:47.847","4","83","1.0","83","4","4","4","2","4"
"1784322708.3479","14:11:48.347","4","83","1.0","83","4","4","4","2","4"
"1784322708.8471","14:11:48.847","4","83","1.0","83","4","4","4","2","4"
"1784322709.3466","14:11:49.346","4","83","1.0","83","4","4","4","2","4"
"1784322709.847","14:11:49.847","4","83","1.0","83","4","4","4","2","4"
"1784322710.3471","14:11:50.347","4","83","1.0","83","4","4","4","2","4"
"1784322710.8467","14:11:50.846","4","83","1.0","83","4","4","4","2","4"
"1784322711.3469","14:11:51.346","4","83","1.0","83","4","4","4","2","4"
"1784322711.8463","14:11:51.846","4","83","1.0","83","4","4","4","2","4"
"1784322712.3465","14:11:52.346","4","83","1.0","83","4","4","4","2","4"
"1784322712.8465","14:11:52.846","4","83","1.0","83","4","4","4","2","4"
"1784322713.3466","14:11:53.346","4","83","1.0","83","4","4","4","2","4"
"1784322713.846","14:11:53.846","4","83","1.0","83","4","4","4","2","4"
"1784322714.3459","14:11:54.345","4","83","1.0","83","4","4","4","2","4"
"1784322714.8463","14:11:54.846","4","83","1.0","83","4","4","4","2","4"
"1784322715.3459","14:11:55.345","4","83","1.0","83","4","4","4","2","4"
"1784322715.8459","14:11:55.845","4","83","1.0","83","4","4","4","2","4"
"1784322716.3459","14:11:56.345","4","83","1.0","83","4","4","4","2","4"
"1784322716.8455","14:11:56.845","4","83","1.0","83","4","4","4","2","4"
"1784322717.3454","14:11:57.345","4","83","1.0","83","4","4","4","2","4"
"1784322717.8454","14:11:57.845","4","83","1.0","83","4","4","4","2","4"
"1784322718.3446","14:11:58.344","4","83","1.0","83","4","4","4","2","4"
"1784322718.8446","14:11:58.844","4","83","1.0","83","4","4","4","2","4"
"1784322719.3448","14:11:59.344","4","83","1.0","83","4","4","4","2","4"
"1784322719.8444","14:11:59.844","4","83","1.0","83","4","4","4","2","4"
"1784322720.3442","14:12:00.344","4","83","1.0","83","4","4","4","2","4"
"1784322720.8442","14:12:00.844","4","83","1.0","67","4","4","2","2","4"
"1784322721.3439","14:12:01.343","4","83","1.0","83","4","4","4","2","4"
"1784322721.8441","14:12:01.844","4","83","1.0","83","4","4","4","2","4"
