Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1784322688.7529,14:11:28.752,neutral,frown,0.389412,neutral,0.0
1784322688.784,14:11:28.784,neutral,frown,0.389412,neutral,0.0
1784322688.8152,14:11:28.815,neutral,frown,0.389412,neutral,0.0
1784322688.8463,14:11:28.846,neutral,surprise,0.346179,neutral,0.0
1784322688.8774,14:11:28.877,neutral,surprise,0.346179,neutral,0.0
1784322688.9086,14:11:28.908,neutral,surprise,0.346179,neutral,0.0
1784322688.9399,14:11:28.939,neutral,surprise,0.346179,neutral,0.0
1784322688.9713,14:11:28.971,neutral,surprise,1.0,neutral,0.0
1784322689.0026,14:11:29.002,neutral,surprise,1.0,neutral,0.0
1784322689.0339,14:11:29.033,neutral,surprise,1.0,neutral,0.0
1784322689.0653,14:11:29.065,blink,surprise,1.0,neutral,0.0
1784322689.0966,14:11:29.096,blink,surprise,1.0,neutral,0.0
1784322689.1277,14:11:29.127,blink,surprise,1.0,neutral,0.0
1784322689.1589,14:11:29.158,blink,surprise,1.0,neutral,0.0
1784322689.19,14:11:29.190,blink,surprise,1.0,neutral,0.0
1784322689.2212,14:11:29.221,neutral,frown,1.0,neutral,0.0
1784322689.2523,14:11:29.252,neutral,frown,1.0,neutral,0.0
1784322689.2834,14:11:29.283,neutral,frown,1.0,neutral,0.0
1784322689.3148,14:11:29.314,neutral,frown,1.0,neutral,0.0
1784322689.3461,14:11:29.346,neutral,frown,1.0,neutral,0.0
1784322689.3775,14:11:29.377,neutral,frown,1.0,neutral,0.0
1784322689.4088,14:11:29.408,neutral,frown,1.0,neutral,0.0
1784322689.4401,14:11:29.440,neutral,frown,1.0,neutral,0.0
1784322689.4713,14:11:29.471,neutral,frown,0.654084,neutral,0.0
1784322689.5024,14:11:29.502,neutral,frown,0.654084,neutral,0.0
1784322689.5335,14:11:29.533,neutral,frown,0.654084,neutral,0.0
1784322689.5647,14:11:29.564,neutral,frown,0.654084,neutral,0.0
1784322689.5958,14:11:29.595,neutral,frown,0.855408,neutral,0.0
1784322689.627,14:11:29.627,neutral,frown,0.855408,neutral,0.0
1784322689.6581,14:11:29.658,neutral,frown,0.855408,neutral,0.0
1784322689.6894,14:11:29.689,neutral,frown,0.855408,neutral,0.0
1784322689.7208,14:11:29.720,neutral,frown,1.0,neutral,0.0
1784322689.7521,14:11:29.752,neutral,frown,1.0,neutral,0.0
1784322689.7834,14:11:29.783,neutral,frown,1.0,neutral,0.0
1784322689.8147,14:11:29.814,neutral,frown,1.0,neutral,0.0
1784322689.846,14:11:29.846,neutral,frown,1.0,neutral,0.0
1784322689.8772,14:11:29.877,neutral,frown,1.0,neutral,0.0
1784322689.9083,14:11:29.908,neutral,frown,1.0,neutral,0.0
1784322689.9394,14:11:29.939,neutral,frown,1.0,neutral,0.0
1784322689.9706,14:11:29.970,neutral,surprise,1.0,neutral,0.0
1784322690.0017,14:11:30.001,neutral,surprise,1.0,neutral,0.0
1784322690.0329,14:11:30.032,neutral,surprise,1.0,neutral,0.0
1784322690.0642,14:11:30.064,neutral,surprise,1.0,neutral,0.0
1784322690.0955,14:11:30.095,neutral,surprise,1.0,neutral,0.0
1784322690.1269,14:11:30.126,neutral,surprise,1.0,neutral,0.0
1784322690.1582,14:11:30.158,neutral,surprise,1.0,neutral,0.0
1784322690.1895,14:11:30.189,neutral,surprise,1.0,neutral,0.0
1784322690.2209,14:11:30.220,neutral,surprise,1.0,neutral,0.0
1784322690.2521,14:11:30.252,neutral,surprise,1.0,neutral,0.0
1784322690.2833,14:11:30.283,neutral,surprise,1.0,neutral,0.0
1784322690.3144,14:11:30.314,neutral,surprise,1.0,neutral,0.0
1784322690.3455,14:11:30.345,neutral,surprise,1.0,neutral,0.0
1784322690.3767,14:11:30.376,neutral,surprise,1.0,neutral,0.0
1784322690.4078,14:11:30.407,neutral,surprise,1.0,neutral,0.0
1784322690.4391,14:11:30.439,neutral,surprise,1.0,neutral,0.0
1784322690.4705,14:11:30.470,neutral,frown,1.0,neutral,0.0
1784322690.5018,14:11:30.501,neutral,frown,1.0,neutral,0.0
1784322690.5332,14:11:30.533,neutral,frown,1.0,neutral,0.0
1784322690.5645,14:11:30.564,neutral,frown,1.0,neutral,0.0
1784322690.5956,14:11:30.595,neutral,frown,0.306325,neutral,0.0
1784322690.6268,14:11:30.626,neutral,frown,0.306325,neutral,0.0
1784322690.6579,14:11:30.657,neutral,frown,0.306325,neutral,0.0
1784322690.6891,14:11:30.689,neutral,frown,0.306325,neutral,0.0
1784322690.7202,14:11:30.720,neutral,neutral,0.0,laugh,0.910554
1784322690.7513,14:11:30.751,neutral,neutral,0.0,laugh,0.910554
1784322690.7827,14:11:30.782,neutral,neutral,0.0,laugh,0.910554
1784322690.814,14:11:30.814,neutral,neutral,0.0,laugh,0.910554
1784322690.8453,14:11:30.845,neutral,neutral,0.0,laugh,1.0
1784322690.8767,14:11:30.876,neutral,neutral,0.0,laugh,1.0
1784322690.908,14:11:30.908,neutral,neutral,0.0,laugh,1.0
1784322690.9394,14:11:30.939,neutral,neutral,0.0,laugh,1.0
1784322690.9707,14:11:30.970,neutral,neutral,0.0,laugh,1.0
1784322691.002,14:11:31.002,neutral,neutral,0.0,laugh,1.0
1784322691.0332,14:11:31.033,neutral,neutral,0.0,laugh,1.0
1784322691.0643,14:11:31.064,blink,neutral,0.0,laugh,1.0
