Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1784152479.8087","14:54:39.808","4","98","1.0","33","2","1","2","1","2"
"1784152480.3086","14:54:40.308","4","98","1.0","33","2","1","2","1","2"
"1784152480.8086","14:54:40.808","4","98","1.0","42","2","1","2","2","2"
"1784152481.3085","14:54:41.308","4","98","1.0","42","2","2","2","1","2"
"1784152481.8087","14:54:41.808","4","98","1.0","42","2","2","2","1","2"
"1784152482.3087","14:54:42.308","4","98","1.0","42","2","2","2","1","2"
"1784152482.8085","14:54:42.808","4","98","1.0","50","2","2","2","2","2"
"1784152483.3083","14:54:43.308","4","98","1.0","83","4","2","4","4","4"
"1784152483.8082","14:54:43.808","4","98","1.0","67","2","2","4","4","4"
"1784152484.3078","14:54:44.307","4","98","1.0","67","2","2","4","4","4"
"1784152484.8077","14:54:44.807","4","98","1.0","67","2","2","4","4","4"
"1784152485.3077","14:54:45.307","4","98","1.0","83","4","2","4","4","4"
"1784152485.8076","14:54:45.807","4","98","1.0","67","2","2","4","4","4"
"1784152486.3072","14:54:46.307","4","98","1.0","67","2","2","4","4","4"
"1784152486.8077","14:54:46.807","4","98","1.0","67","2","2","4","4","4"
"1784152487.3072","14:54:47.307","4","98","1.0","83","4","2","4","4","4"
"1784152487.8065","14:54:47.806","4","98","1.0","83","4","2","4","4","4"
"1784152488.3066","14:54:48.306","4","98","1.0","67","2","2","4","4","4"
"1784152488.8066","14:54:48.806","4","98","1.0","67","2","2","4","4","4"
"1784152489.3061","14:54:49.306","4","98","1.0","83","4","2","4","4","4"
"1784152489.8063","14:54:49.806","4","98","1.0","75","4","1","4","4","4"
"1784152490.3058","14:54:50.305","4","98","1.0","42","2","1","2","4","4"
"1784152490.805","14:54:50.805","4","98","1.0","42","2","1","2","4","4"
"1784152491.3051","14:54:51.305","4","98","1.0","67","4","2","2","4","4"
"1784152491.8047","14:54:51.804","4","98","1.0","67","4","2","2","4","4"
"1784152492.3041","14:54:52.304","4","98","1.0","67","2","2","4","4","4"
"1784152492.8044","14:54:52.804","4","98","1.0","50","2","2","2","2","2"
"1784152493.3044","14:54:53.304","4","98","1.0","50","2","2","2","2","2"
"1784152493.8037","14:54:53.803","4","98","1.0","50","2","2","2","2","2"
"1784152494.3035","14:54:54.303","4","98","1.0","33","2","1","2","1","2"
"1784152494.8038","14:54:54.803","4","98","1.0","42","2","2","2","1","2"
"1784152495.303","14:54:55.303","4","98","1.0","42","2","2","2","1","2"
"1784152495.8031","14:54:55.803","4","98","1.0","42","2","2","2","1","2"
"1784152496.3033","14:54:56.303","4","98","1.0","33","2","1","2","1","2"
"1784152496.8028","14:54:56.802","4","98","1.0","42","2","2","2","1","2"
"1784152497.303","14:54:57.303","4","98","1.0","33","2","1","2","1","2"
"1784152497.8032","14:54:57.803","4","98","1.0","33","2","1","2","1","2"
"1784152498.3031","14:54:58.303","4","98","1.0","50","2","2","2","2","2"
"1784152498.8027","14:54:58.802","4","98","1.0","42","2","1","2","2","2"
"1784152499.3026","14:54:59.302","4","98","1.0","42","2","2","2","1","2"
"1784152499.8028","14:54:59.802","4","98","1.0","33","2","1","2","1","2"
"1784152500.3027","14:55:00.302","4","98","1.0","42","2","1","2","2","2"
"1784152500.8031","14:55:00.803","4","98","1.0","75","4","1","4","4","4"
"1784152501.3032","14:55:01.303","4","98","1.0","83","4","2","4","4","4"
"1784152501.803","14:55:01.803","4","98","1.0","75","4","1","4","4","4"
"1784152502.303","14:55:02.303","4","98","1.0","67","4","2","2","4","4"
"1784152502.8029","14:55:02.802","4","98","1.0","83","4","2","4","4","4"
"1784152503.3019","14:55:03.301","4","98","1.0","83","4","2","4","4","4"
"1784152503.8022","14:55:03.802","4","98","1.0","83","4","2","4","4","4"
"1784152504.3016","14:55:04.301","4","98","1.0","83","4","2","4","4","4"
"1784152504.8015","14:55:04.801","4","98","1.0","83","4","2","4","4","4"
"1784152505.3013","14:55:05.301","4","98","1.0","67","4","2","2","4","4"
"1784152505.8016","14:55:05.801","4","98","1.0","75","4","1","4","4","4"
"1784152506.3012","14:55:06.301","4","98","1.0","83","4","2","4","4","4"
"1784152506.8013","14:55:06.801","4","98","1.0","75","4","1","4","4","4"
"1784152507.3013","14:55:07.301","4","98","1.0","83","4","2","4","4","4"
"1784152507.8008","14:55:07.800","4","98","1.0","67","4","2","2","4","4"
