localTimestamp,deviceTimestamp,step,confidence,surfaceX,surfaceY,imageX,imageY
1749337785.805,1121081.023095,, 0.2997,0.637826,0.331609,681.756508,400.602065
1749337785.806,1121081.031164,, 0.3774,0.684179,0.539656,696.535003,352.569443
1749337785.807,1121081.039233,, 0.5029,0.770581,0.268723,727.649430,418.086043
1749337785.807,1121081.046593,, 0.5350,0.069260,0.859980,483.802015,264.750326
1749337785.844,1121081.070801,, 0.4622,0.009010,0.971277,462.853275,237.335180
1749337785.844,1121081.047302,, 0.6000,0.809584,0.400751,741.087781,387.935497
1749337785.876,1121081.055371,, 0.9900,0.751578,0.301119,721.883554,410.017533
1749337785.876,1121081.063440,, 0.7617,0.756701,0.339429,723.433205,401.104644
1749337785.876,1121081.071509,, 0.8199,0.756228,0.358597,723.163329,396.581813
1749337785.877,1121081.087293,, 0.9064,0.539435,0.932884,645.340570,256.860372
1749337785.877,1121081.091328,, 0.9612,0.538183,0.943700,644.849051,254.288002
1749337785.877,1121081.095362,, 0.9453,0.534233,0.930839,643.561336,257.233717
1749337785.877,1121081.099397,, 0.9503,0.533401,0.924048,643.312936,258.815147
1749337785.877,1121081.103432,, 0.9297,0.531946,0.904197,642.922901,263.458615
1749337785.877,1121081.107466,, 0.9297,0.535102,0.903333,644.014239,263.727633
1749337785.878,1121081.111501,, 1.0000,0.528347,0.901286,641.700370,264.068976
1749337785.878,1121081.115535,, 1.0000,0.527020,0.904362,641.226474,263.317186
1749337785.908,1121081.119570,, 1.0000,0.519639,0.901193,638.737704,263.302003
1749337785.908,1121081.123604,, 1.0000,0.518101,0.901626,638.206025,263.167839
1749337785.908,1121081.127639,, 1.0000,0.512998,0.893629,636.497915,264.943950
1749337785.908,1121081.131673,, 1.0000,0.514705,0.895076,637.076626,264.639017
1749337785.909,1121081.135708,, 1.0000,0.524244,0.980758,639.853185,244.662198
1749337785.909,1121081.139742,, 1.0000,0.524523,0.974411,639.986446,246.162723
1749337785.909,1121081.143777,, 1.0000,0.437874,0.939377,610.385346,252.593847
1749337785.909,1121081.147811,, 1.0000,0.441869,0.943122,611.737485,251.795833
1749337785.945,1121081.151845,, 1.0000,0.432991,0.929282,609.259195,254.485646
1749337785.945,1121081.155880,, 1.0000,0.454414,0.722415,617.815177,303.655705
1749337785.945,1121081.159915,, 1.0000,0.453989,0.710100,617.739404,306.546900
1749337785.946,1121081.163949,, 1.0000,0.515907,0.595408,639.703372,334.863438
1749337785.946,1121081.167984,, 1.0000,0.515060,0.577480,639.514670,339.067748
1749337785.946,1121081.172018,, 1.0000,0.515672,0.574772,639.740735,339.718221
1749337785.946,1121081.176053,, 0.9931,0.510207,0.588963,637.778809,336.260914
1749337785.946,1121081.180087,, 0.9931,0.514043,0.591330,639.085407,335.784581
1749337785.946,1121081.184122,, 1.0000,0.506376,0.598606,636.405280,333.909166
