Timestamp,Local time,Active Focus,Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress
1749337777.2147,16:09:37.214,true,0.28113,true,0.634473,true,0.41557,true,0.540674,true,0.343128,true,0.384411
1749337777.715,16:09:37.715,true,0.292128,true,0.611832,true,0.38695,true,0.551629,true,0.342727,true,0.381774
1749337778.2146,16:09:38.214,true,0.302238,true,0.599937,true,0.360289,true,0.567361,true,0.342168,true,0.368337
1749337778.7142,16:09:38.714,true,0.311505,true,0.599924,true,0.33934,true,0.575798,true,0.342174,true,0.366147
1749337779.2143,16:09:39.214,true,0.314206,true,0.619766,true,0.326317,true,0.57035,true,0.361651,true,0.360269
1749337779.7143,16:09:39.714,true,0.30558,true,0.630937,true,0.309877,true,0.561473,true,0.361655,true,0.360271
1749337780.2137,16:09:40.213,true,0.297398,true,0.630917,true,0.309886,true,0.561111,true,0.350872,true,0.360273
1749337780.7139,16:09:40.713,true,0.290152,true,0.629557,true,0.323964,true,0.567063,true,0.337752,true,0.334175
1749337781.2138,16:09:41.213,true,0.2853,true,0.616065,true,0.325855,true,0.574588,true,0.334264,true,0.328866
1749337781.7136,16:09:41.713,true,0.287134,true,0.616048,true,0.342568,true,0.575771,true,0.337767,true,0.328872
1749337782.2134,16:09:42.213,true,0.286306,true,0.619569,true,0.36563,true,0.567724,true,0.357061,true,0.348179
1749337782.7133,16:09:42.713,true,0.288462,true,0.641459,true,0.381993,true,0.553688,true,0.357066,true,0.348183
1749337783.2125,16:09:43.212,true,0.294283,true,0.641436,true,0.389469,true,0.538626,true,0.35707,true,0.348187
1749337783.7125,16:09:43.712,true,0.304232,true,0.635151,true,0.404948,true,0.524623,true,0.371609,true,0.36775
1749337784.2125,16:09:44.212,true,0.322604,true,0.635129,true,0.444556,true,0.512963,true,0.371612,true,0.393584
1749337784.7123,16:09:44.712,true,0.33784,true,0.649357,true,0.472149,true,0.510966,true,0.360279,true,0.394068
1749337785.2123,16:09:45.212,true,0.351847,true,0.649332,true,0.486541,true,0.544539,true,0.360284,true,0.396101
1749337785.7125,16:09:45.712,true,0.35572,true,0.649306,true,0.523021,true,0.618478,true,0.369198,true,0.396099
1749337786.2122,16:09:46.212,true,0.339828,true,0.685806,true,0.57133,true,0.68964,true,0.38418,true,0.367082
1749337786.7117,16:09:46.711,true,0.323773,true,0.685769,true,0.607418,true,0.717529,true,0.431842,true,0.367083
1749337787.2118,16:09:47.211,true,0.309679,true,0.676749,true,0.630609,true,0.704611,true,0.47283,true,0.405147
1749337787.7118,16:09:47.711,true,0.298083,true,0.676716,true,0.647836,true,0.676591,true,0.539169,true,0.459627
1749337788.2114,16:09:48.211,true,0.297016,true,0.66825,true,0.659646,true,0.658015,true,0.577595,true,0.492995
1749337788.7117,16:09:48.711,true,0.305734,true,0.666009,true,0.667772,true,0.653067,true,0.577559,true,0.492969
1749337789.2113,16:09:49.211,true,0.318935,true,0.66598,true,0.667697,true,0.657434,true,0.567856,true,0.476542
1749337789.7105,16:09:49.710,true,0.331071,true,0.700982,true,0.665621,true,0.656323,true,0.567823,true,0.476522
1749337790.2108,16:09:50.210,true,0.346902,true,0.728762,true,0.65291,true,0.653464,true,0.587127,true,0.512935
1749337790.7108,16:09:50.710,true,0.365473,true,0.739193,true,0.628272,true,0.646346,true,0.587087,true,0.5129
1749337791.2102,16:09:51.210,true,0.382538,true,0.767145,true,0.60979,true,0.62903,true,0.569161,true,0.490342
1749337791.7106,16:09:51.710,true,0.39628,true,0.76707,true,0.57625,true,0.606482,true,0.534405,true,0.469766
1749337792.2104,16:09:52.210,true,0.414972,true,0.75378,true,0.556217,true,0.592,true,0.503477,true,0.431694
1749337792.7098,16:09:52.709,true,0.432008,true,0.739661,true,0.542991,true,0.586262,true,0.487096,true,0.408506
1749337793.2101,16:09:53.210,true,0.447481,true,0.730019,true,0.533705,true,0.581507,true,0.487083,true,0.399742
1749337793.7101,16:09:53.710,true,0.449879,true,0.725541,true,0.510248,true,0.571769,true,0.486737,true,0.39974
1749337794.2093,16:09:54.209,true,0.442493,true,0.721425,true,0.508317,true,0.559782,true,0.486725,true,0.399737
