Timestamp,Local time,Active Focus,Focus,Active Engagement,Engagement,Active Excitement,Excitement,Active Interest,Interest,Active Relaxation,Relaxation,Active Stress,Stress
1784589597.5014,16:19:57.501,true,0.468283,true,0.539987,true,0.143752,true,0.42783,true,0.36361,true,0.356592
1784589598.0008,16:19:58.000,true,0.468425,true,0.539938,true,0.142715,true,0.427,true,0.35451,true,0.356618
1784589598.5011,16:19:58.501,true,0.480894,true,0.537699,true,0.143216,true,0.425793,true,0.354562,true,0.354216
1784589599.0013,16:19:59.001,true,0.495323,true,0.481027,true,0.144368,true,0.43075,true,0.354614,true,0.354245
1784589599.5013,16:19:59.501,true,0.503135,true,0.380513,true,0.147278,true,0.444513,true,0.315146,true,0.314043
1784589600.0012,16:20:00.001,true,0.503748,true,0.380695,true,0.152492,true,0.463477,true,0.254915,true,0.26459
1784589600.5014,16:20:00.501,true,0.5043,true,0.398489,true,0.155982,true,0.478552,true,0.24373,true,0.264841
1784589601.0014,16:20:01.001,true,0.504488,true,0.400419,true,0.158677,true,0.481536,true,0.241613,true,0.271636
1784589601.5006,16:20:01.500,true,0.497916,true,0.400559,true,0.159668,true,0.472653,true,0.233238,true,0.271856
1784589602.0006,16:20:02.000,true,0.492002,true,0.299143,true,0.16038,true,0.460778,true,0.188855,true,0.236787
1784589602.5002,16:20:02.500,true,0.486683,true,0.133439,true,0.161033,true,0.454246,true,0.159972,true,0.209934
1784589602.9996,16:20:02.999,true,0.488279,true,0.13281,true,0.161453,true,0.45107,true,0.158191,true,0.204108
1784589603.5002,16:20:03.500,true,0.489718,true,0.128554,true,0.159277,true,0.448129,true,0.137523,true,0.201699
1784589603.9996,16:20:03.999,true,0.488257,true,0.130108,true,0.155377,true,0.44352,true,0.118527,true,0.202167
1784589604.4993,16:20:04.499,true,0.486944,true,0.147354,true,0.154083,true,0.437256,true,0.119416,true,0.202826
1784589604.9993,16:20:04.999,true,0.485765,true,0.238967,true,0.151538,true,0.430545,true,0.123508,true,0.203478
1784589605.4991,16:20:05.499,true,0.476935,true,0.304508,true,0.148897,true,0.426667,true,0.124936,true,0.209193
1784589605.9987,16:20:05.998,true,0.469005,true,0.304905,true,0.14863,true,0.431758,true,0.12913,true,0.211723
1784589606.4991,16:20:06.499,true,0.455841,true,0.288453,true,0.148162,true,0.443542,true,0.129937,true,0.212293
1784589606.9992,16:20:06.999,true,0.446579,true,0.288912,true,0.146712,true,0.453623,true,0.135865,true,0.214514
1784589607.4992,16:20:07.499,true,0.443623,true,0.299275,true,0.147177,true,0.455366,true,0.161249,true,0.237429
1784589607.9994,16:20:07.999,true,0.436703,true,0.372965,true,0.14858,true,0.449091,true,0.181158,true,0.250801
1784589608.499,16:20:08.499,true,0.430511,true,0.373157,true,0.151914,true,0.441551,true,0.182705,true,0.25765
1784589608.9985,16:20:08.998,true,0.423079,true,0.320593,true,0.155677,true,0.442061,true,0.183471,true,0.258323
1784589609.4987,16:20:09.498,true,0.419161,true,0.207812,true,0.15651,true,0.452378,true,0.214167,true,0.273568
1784589609.9987,16:20:09.998,true,0.419471,true,0.174493,true,0.159627,true,0.468063,true,0.223139,true,0.279177
1784589610.4978,16:20:10.497,true,0.415947,true,0.175618,true,0.165003,true,0.486334,true,0.252655,true,0.276865
1784589610.9977,16:20:10.997,true,0.408804,true,0.211499,true,0.170507,true,0.503488,true,0.252887,true,0.282897
1784589611.4979,16:20:11.497,true,0.40833,true,0.213838,true,0.172059,true,0.518374,true,0.244893,true,0.283067
1784589611.9979,16:20:11.997,true,0.412694,true,0.214677,true,0.172424,true,0.539268,true,0.245145,true,0.298485
1784589612.4975,16:20:12.497,true,0.410339,true,0.150512,true,0.170577,true,0.569451,true,0.245396,true,0.29861
1784589612.9976,16:20:12.997,true,0.393123,true,0.126993,true,0.168754,true,0.593998,true,0.23374,true,0.266659
1784589613.497,16:20:13.497,true,0.397614,true,0.12729,true,0.168149,true,0.599476,true,0.223177,true,0.253203
1784589613.997,16:20:13.997,true,0.415819,true,0.128787,true,0.165943,true,0.586622,true,0.184741,true,0.233532
1784589614.4972,16:20:14.497,true,0.430526,true,0.193468,true,0.163276,true,0.563313,true,0.128961,true,0.209378
1784589614.9965,16:20:14.996,true,0.443872,true,0.287151,true,0.161861,true,0.534715,true,0.115233,true,0.209945
1784589615.4963,16:20:15.496,true,0.458465,true,0.310215,true,0.161731,true,0.503932,true,0.116102,true,0.213517
1784589615.9961,16:20:15.996,true,0.480481,true,0.385624,true,0.161202,true,0.476822,true,0.133768,true,0.229874
1784589616.4955,16:20:16.495,true,0.507138,true,0.487425,true,0.156973,true,0.458019,true,0.154395,true,0.234905
1784589616.9953,16:20:16.995,true,0.531097,true,0.506204,true,0.151169,true,0.447719,true,0.168356,true,0.240096
1784589617.4958,16:20:17.495,true,0.552533,true,0.555736,true,0.146607,true,0.441612,true,0.197324,true,0.251663
1784589617.996,16:20:17.996,true,0.571643,true,0.720975,true,0.142378,true,0.437232,true,0.220864,true,0.273787
1784589618.496,16:20:18.496,true,0.563452,true,0.794276,true,0.141124,true,0.434527,true,0.266374,true,0.30228
1784589618.9966,16:20:18.996,true,0.529901,true,0.79341,true,0.140089,true,0.435449,true,0.304846,true,0.324742
1784589619.4956,16:20:19.495,true,0.49946,true,0.742982,true,0.140556,true,0.439197,true,0.324413,true,0.327721
1784589619.9946,16:20:19.994,true,0.472061,true,0.706211,true,0.141605,true,0.442529,true,0.33665,true,0.327783
1784589620.4951,16:20:20.495,true,0.466376,true,0.621121,true,0.142479,true,0.444678,true,0.340712,true,0.310153
1784589620.9949,16:20:20.994,true,0.464604,true,0.620953,true,0.143524,true,0.448593,true,0.340429,true,0.307192
