Timestamp,Local time,Counter,Interpolated,Accelerometer X,Accelerometer Y,Accelerometer Z,Magnetometer X,Magnetometer Y,Magnetometer Z,Quaternion 0,Quaternion 1,Quaternion 2,Quaternion 3
1784589598.5482,16:19:58.548,30,false,0.669671,-0.396118,0.455261,0.432861,0.979019,0.140139,-0.282231,-22.779793,-35.459169,8.932413
1784589598.5795,16:19:58.579,31,false,0.6682,-0.397034,0.455811,0.433716,0.98146,0.148928,-0.279301,-22.670121,-35.502174,8.891541
1784589598.6108,16:19:58.610,0,false,0.667032,-0.397766,0.45636,0.434265,0.966323,0.12549,-0.274418,-22.810677,-35.570786,8.884663
1784589598.642,16:19:58.642,1,false,0.665929,-0.398376,0.457031,0.434692,0.972671,0.146487,-0.274907,-22.802593,-35.438137,8.86352
1784589598.6731,16:19:58.673,2,false,0.664598,-0.399353,0.457825,0.434998,0.966323,0.152346,-0.268559,-22.750456,-35.543061,8.91926
1784589598.7043,16:19:58.704,3,false,0.663796,-0.40033,0.458252,0.434875,0.966812,0.137697,-0.263188,-22.718487,-35.532815,8.90961
1784589598.7354,16:19:58.735,4,false,0.663024,-0.401306,0.458862,0.434509,0.982437,0.160159,-0.265629,-22.734576,-35.389009,8.975695
1784589598.7665,16:19:58.766,5,false,0.661358,-0.402771,0.460327,0.434143,0.983413,0.148928,-0.240238,-22.539702,-35.349307,8.975356
1784589598.7977,16:19:58.797,6,false,0.660057,-0.403625,0.461731,0.433838,0.973648,0.137209,-0.257328,-22.633485,-35.388345,9.229266
1784589598.829,16:19:58.829,7,false,0.658674,-0.404358,0.463806,0.433044,0.973648,0.143557,-0.254887,-22.658074,-35.393571,9.113847
1784589598.8603,16:19:58.860,8,false,0.658254,-0.404541,0.464355,0.432922,0.961929,0.120119,-0.243168,-22.769928,-35.38332,9.249231
1784589598.8917,16:19:58.891,9,false,0.658251,-0.405823,0.465454,0.430542,0.962905,0.107912,-0.250004,-22.855642,-35.359141,9.430892
1784589598.923,16:19:58.923,10,false,0.659547,-0.408203,0.464966,0.426819,0.952163,0.091798,-0.252934,-22.872969,-35.172887,9.459803
1784589598.9544,16:19:58.954,11,false,0.663726,-0.414124,0.461426,0.418396,0.941421,0.097169,-0.230961,-22.828749,-35.065074,9.500776
1784589598.9857,16:19:58.985,12,false,0.66768,-0.418091,0.458008,0.411865,0.959487,0.143069,-0.218265,-22.893627,-34.982997,9.747006
1784589599.017,16:19:59.017,13,false,0.671308,-0.420776,0.454651,0.406921,1.041032,0.191897,-0.25098,-22.952017,-34.80445,9.744305
1784589599.0482,16:19:59.048,14,false,0.672833,-0.418213,0.455688,0.405884,1.050797,0.252445,-0.267582,-22.959707,-34.524127,9.667105
1784589599.0793,16:19:59.079,15,false,0.670667,-0.411743,0.461243,0.40979,0.981949,0.266117,-0.25684,-23.026443,-34.331652,9.73221
