DateTime,Timestamp,Trial,MoveNumber,From,To,MoveDurationSeconds,HelpUsed,ErrorsThisMove,ErrorDetails
2026-07-20_16-40-48.196,1784590848.196,1,68,B,C,12,FALSE,0,
2026-07-20_16-40-59.945,1784590859.945,1,69,A,B,11,FALSE,0,
2026-07-20_16-41-23.181,1784590883.181,1,70,C,A,23,FALSE,0,
2026-07-20_16-41-34.496,1784590894.496,1,71,C,B,11,FALSE,0,
2026-07-20_16-41-45.856,1784590905.856,1,72,A,B,11,FALSE,0,
2026-07-20_16-41-58.872,1784590918.872,1,73,A,C,13,FALSE,0,
2026-07-20_16-42-13.200,1784590933.200,1,74,B,C,14,FALSE,0,
2026-07-20_16-42-25.024,1784590945.024,1,75,B,A,11,FALSE,0,
2026-07-20_16-42-36.820,1784590956.820,1,76,C,A,11,FALSE,0,
2026-07-20_16-42-48.994,1784590968.994,1,77,B,C,12,FALSE,0,
2026-07-20_16-43-00.531,1784590980.531,1,78,A,B,11,FALSE,0,
2026-07-20_16-43-14.106,1784590994.106,1,79,A,C,13,FALSE,0,
2026-07-20_16-43-26.427,1784591006.427,1,80,B,C,12,FALSE,0,
2026-07-20_16-44-23.709,1784591063.709,2,1,A,C,9,FALSE,0,
2026-07-20_16-44-33.673,1784591073.673,2,2,A,B,9,FALSE,0,
2026-07-20_16-44-45.530,1784591085.530,2,3,C,B,11,FALSE,0,
2026-07-20_16-44-57.846,1784591097.846,2,4,A,C,12,FALSE,0,
2026-07-20_16-45-12.974,1784591112.974,2,5,B,A,15,FALSE,0,
2026-07-20_16-45-25.120,1784591125.120,2,6,B,C,12,FALSE,0,
2026-07-20_16-45-36.819,1784591136.819,2,7,A,C,11,FALSE,0,
2026-07-20_16-45-47.975,1784591147.975,2,8,A,B,11,FALSE,0,
2026-07-20_16-46-04.261,1784591164.261,2,9,C,B,16,FALSE,0,
2026-07-20_16-46-17.346,1784591177.346,2,10,C,A,13,FALSE,0,
2026-07-20_16-46-29.755,1784591189.755,2,11,B,A,12,FALSE,0,
2026-07-20_16-46-41.943,1784591201.943,2,12,C,B,12,FALSE,0,
2026-07-20_16-46-54.093,1784591214.093,2,13,A,C,12,FALSE,0,
2026-07-20_16-47-05.259,1784591225.259,2,14,A,B,11,FALSE,0,
2026-07-20_16-47-17.688,1784591237.688,2,15,C,B,12,FALSE,0,
2026-07-20_16-47-30.716,1784591250.716,2,16,A,C,13,FALSE,0,
2026-07-20_16-47-48.778,1784591268.778,2,17,B,A,18,FALSE,0,
2026-07-20_16-48-00.633,1784591280.633,2,18,B,C,11,FALSE,0,
2026-07-20_16-48-13.843,1784591293.843,2,19,A,C,13,FALSE,0,
2026-07-20_16-48-25.462,1784591305.462,2,20,B,A,11,FALSE,0,
2026-07-20_16-48-36.488,1784591316.488,2,21,C,B,11,FALSE,0,
2026-07-20_16-48-49.070,1784591329.070,2,22,C,A,12,FALSE,0,
2026-07-20_16-49-00.717,1784591340.717,2,23,B,A,11,FALSE,0,
2026-07-20_16-49-13.606,1784591353.606,2,24,B,C,12,FALSE,0,
2026-07-20_16-49-28.150,1784591368.150,2,25,A,C,14,FALSE,0,
2026-07-20_16-49-39.971,1784591379.971,2,26,A,B,11,FALSE,0,
2026-07-20_16-49-51.197,1784591391.197,2,27,C,B,11,FALSE,0,
2026-07-20_16-50-03.987,1784591403.987,2,28,A,C,12,FALSE,0,
2026-07-20_16-50-17.622,1784591417.622,2,29,B,A,13,FALSE,0,
2026-07-20_16-50-29.920,1784591429.920,2,30,B,C,12,FALSE,0,
2026-07-20_16-50-42.626,1784591442.626,2,31,A,C,12,FALSE,0,
2026-07-20_16-51-19.397,1784591479.397,2,32,C,A,36,FALSE,0,
2026-07-20_16-51-30.795,1784591490.795,2,33,C,B,11,FALSE,0,
2026-07-20_16-51-44.317,1784591504.317,2,34,A,B,13,FALSE,0,
2026-07-20_16-51-57.417,1784591517.417,2,35,C,A,13,FALSE,0,
2026-07-20_16-52-14.851,1784591534.851,2,36,B,C,17,FALSE,0,
2026-07-20_16-52-27.751,1784591547.751,2,37,B,A,12,FALSE,0,
2026-07-20_16-52-40.180,1784591560.180,2,38,C,A,12,FALSE,0,
2026-07-20_16-53-10.139,1784591590.139,2,39,C,B,29,FALSE,0,
2026-07-20_16-53-25.331,1784591605.331,2,40,A,C,15,FALSE,0,
2026-07-20_16-53-37.146,1784591617.146,2,41,A,B,11,FALSE,0,
2026-07-20_16-53-49.301,1784591629.301,2,42,C,B,12,FALSE,0,
2026-07-20_16-54-16.297,1784591656.297,2,43,B,A,26,FALSE,0,
2026-07-20_16-54-27.871,1784591667.871,2,44,B,C,11,FALSE,0,
2026-07-20_16-54-42.009,1784591682.009,2,45,A,C,14,FALSE,0,
2026-07-20_16-54-53.808,1784591693.808,2,46,A,B,11,FALSE,0,
2026-07-20_16-55-07.537,1784591707.537,2,47,C,A,13,FALSE,0,
2026-07-20_16-55-19.407,1784591719.407,2,48,C,B,11,FALSE,0,
2026-07-20_16-55-40.878,1784591740.878,2,49,A,B,21,FALSE,0,
2026-07-20_16-56-15.820,1784591775.820,2,50,B,A,34,FALSE,0,
2026-07-20_16-56-27.504,1784591787.504,2,51,B,C,11,FALSE,0,
2026-07-20_16-56-40.190,1784591800.190,2,52,A,C,12,FALSE,0,
2026-07-20_16-56-52.672,1784591812.672,2,53,B,A,12,FALSE,0,
2026-07-20_16-57-11.145,1784591831.145,2,54,C,B,18,FALSE,0,
2026-07-20_16-57-35.044,1784591855.044,2,55,C,A,23,FALSE,0,
2026-07-20_16-58-00.555,1784591880.555,2,56,B,A,25,FALSE,0,
2026-07-20_16-58-14.058,1784591894.058,2,57,B,C,13,FALSE,0,
2026-07-20_16-58-47.058,1784591927.058,2,58,A,B,32,FALSE,0,
2026-07-20_16-58-59.836,1784591939.836,2,59,A,C,12,FALSE,0,
2026-07-20_16-59-12.715,1784591952.715,2,60,B,C,12,FALSE,0,
2026-07-20_16-59-24.396,1784591964.396,2,61,A,B,11,FALSE,0,
2026-07-20_16-59-37.869,1784591977.869,2,62,C,A,13,FALSE,0,
2026-07-20_16-59-53.103,1784591993.103,2,63,A,B,15,FALSE,0,
2026-07-20_17-00-05.581,1784592005.581,2,64,C,A,12,FALSE,0,
2026-07-20_17-00-17.493,1784592017.493,2,65,B,A,11,FALSE,0,
2026-07-20_17-00-29.766,1784592029.766,2,66,B,C,12,FALSE,0,
2026-07-20_17-00-40.936,1784592040.936,2,67,A,B,11,FALSE,0,
2026-07-20_17-00-53.873,1784592053.873,2,68,A,C,12,FALSE,0,
2026-07-20_17-01-06.017,1784592066.017,2,69,B,C,12,FALSE,0,
2026-07-20_17-01-17.845,1784592077.845,2,70,A,B,11,FALSE,0,
2026-07-20_17-01-37.800,1784592097.800,2,71,C,A,19,FALSE,0,
2026-07-20_17-01-48.469,1784592108.469,2,72,C,B,10,FALSE,0,
2026-07-20_17-02-01.079,1784592121.079,2,73,A,B,12,FALSE,0,
2026-07-20_17-02-13.807,1784592133.807,2,74,C,A,12,FALSE,0,
2026-07-20_17-02-25.799,1784592145.799,2,75,B,C,11,FALSE,0,
